Personenname,Sprache,Sprachnutzung,Beleg,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Berta Katscher,Ungarisch,Übersetzungen,Seit Jahren schreibt B. K. für hervorragende Zeitschriften Übersetzungen aus dem Englischen und Ungarischen,,,,,,,,,
Anna Katharina Kasch,Dänisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Norwegisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Schwedisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Englisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Schottisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Spanisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Französisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Anna Katharina Kasch,Holländisch,Literarische Übersetzungen,"Ausser Eigenem enthalten die Gedichte Übersetzungen aus dem Dänischen, Norwegischen, Schwedischen, Englischen, Schottischen, Spanischen, Französischen und Holländischen",,,,,,,,,
Marya Jonas von Szatánska,Polnisch,Schriftstellerische Tätigkeit,"schreibt in polnischer, deutscher und französischer Sprache Feuilletons, Novellen, Kunstkritiken, Aphorismen und die Frauenfrage behandelnde Artikel",,,,,,,,,
Marya Jonas von Szatánska,Französisch,Schriftstellerische Tätigkeit,"schreibt in polnischer, deutscher und französischer Sprache Feuilletons, Novellen, Kunstkritiken, Aphorismen und die Frauenfrage behandelnde Artikel",,,,,,,,,
Isabella Kaiser,Französisch,Literarisches Schaffen,Sie schreibt Romane und Poesien in französischer Sprache und deutsche Gedichte,,,,,,,,,
Katz Helene,Französisch,Übersetzung,"als Übersetzerin aus dem Französischen, Italienischen, Spanischen und Portugiesischen schriftstellerisch thätig",,,,,,,,,
Katz Helene,Italienisch,Übersetzung,"als Übersetzerin aus dem Französischen, Italienischen, Spanischen und Portugiesischen schriftstellerisch thätig",,,,,,,,,
Katz Helene,Spanisch,Übersetzung,"als Übersetzerin aus dem Französischen, Italienischen, Spanischen und Portugiesischen schriftstellerisch thätig",,,,,,,,,
Katz Helene,Portugiesisch,Übersetzung,"als Übersetzerin aus dem Französischen, Italienischen, Spanischen und Portugiesischen schriftstellerisch thätig",,,,,,,,,
Keller-Jordan Henriette,Englisch,Studium der Klassiker,"Er las und studierte mit ihr deutsche, englische und französische Klassiker",,,,,,,,,
Keller-Jordan Henriette,Französisch,Studium der Klassiker,"Er las und studierte mit ihr deutsche, englische und französische Klassiker",,,,,,,,,
Kaufmann Mathilde,Englisch,Übersetzung,"Übersetzungen aus dem Englischen, Französischen und Holländischen veröffentlicht",,,,,,,,,
Kaufmann Mathilde,Französisch,Übersetzung,"Übersetzungen aus dem Englischen, Französischen und Holländischen veröffentlicht",,,,,,,,,
Kaufmann Mathilde,Holländisch,Übersetzung,"Übersetzungen aus dem Englischen, Französischen und Holländischen veröffentlicht",,,,,,,,,
Kirchner E.,Englisch,Übersetzung,übersetzt aus dem Englischen und Italienischen,,,,,,,,,
Kirchner E.,Italienisch,Übersetzung,übersetzt aus dem Englischen und Italienischen,,,,,,,,,
Klingenfeld Emma,Dänisch,Übersetzung,"Sie ist Übersetzerin aus dem Dänischen, Norwegischen, Schwedischen, Französischen",,,,,,,,,
Klingenfeld Emma,Norwegisch,Übersetzung,"Sie ist Übersetzerin aus dem Dänischen, Norwegischen, Schwedischen, Französischen",,,,,,,,,
Klingenfeld Emma,Schwedisch,Übersetzung,"Sie ist Übersetzerin aus dem Dänischen, Norwegischen, Schwedischen, Französischen",,,,,,,,,
Klingenfeld Emma,Französisch,Übersetzung,"Sie ist Übersetzerin aus dem Dänischen, Norwegischen, Schwedischen, Französischen",,,,,,,,,
Klipstein Maria,Englisch,Studium und Schriftstellerei,"Überall in der Fremde studierte sie Sprache, Geschichte und Litteratur des betreffenden Landes. [...] Die meisten in deutschen Blättern, einige in englischen",,,,,,,,,
Klipstein Maria,Französisch,Studium,"1863 ging sie nach England und Frankreich, lebte in London und Paris [...] Überall in der Fremde studierte sie Sprache, Geschichte und Litteratur des betreffenden Landes",,,,,,,,,
Koch Luise,Englisch,Übersetzung,"auch als Übersetzerin aus dem Englischen, Französischen und Holländischen",,,,,,,,,
Koch Luise,Französisch,Übersetzung,"auch als Übersetzerin aus dem Englischen, Französischen und Holländischen",,,,,,,,,
Koch Luise,Holländisch,Übersetzung,"auch als Übersetzerin aus dem Englischen, Französischen und Holländischen",,,,,,,,,
Knorr Josephine,Italienisch,Literaturstudium,"Sie liest Virgil im Original und beherrscht die italienische, englische und französische Sprache gleichmässig",,,,,,,,,
Knorr Josephine,Englisch,Literaturstudium,"Sie liest Virgil im Original und beherrscht die italienische, englische und französische Sprache gleichmässig",,,,,,,,,
Knorr Josephine,Französisch,Literaturstudium,"Sie liest Virgil im Original und beherrscht die italienische, englische und französische Sprache gleichmässig",,,,,,,,,
"Koenneritz, Marie Antonie Angelique Mathilde, Freifrau von",Französisch,Übersetzungen,schrieb Übersetzungen aus dem Französischen,,,,,,,,,
"Kohl, Camilla",Französisch,Sprachunterricht,kam als Lehrerin der französischen Sprache an ein Institut,,,,,,,,,
"König, Ottilie",Französisch,Übersetzungen,"schrieb Novellen, Kritiken und Übersetzungen aus dem Französischen und Englischen",,,,,,,,,
"König, Ottilie",Englisch,Übersetzungen,"schrieb Novellen, Kritiken und Übersetzungen aus dem Französischen und Englischen",,,,,,,,,
"Kopsin, Lilly",Französisch,Übersetzungen und Bearbeitungen,trat mit Übersetzungen und freien Bearbeitungen französischer dramatischer Werke,,,,,,,,,
"Kraut, Marie v.",Französisch,Übersetzungen,"vorzugsweise als Übersetzerin aus dem Französischen, Italienischen und Englischen thätig",,,,,,,,,
"Kraut, Marie v.",Italienisch,Übersetzungen,"vorzugsweise als Übersetzerin aus dem Französischen, Italienischen und Englischen thätig",,,,,,,,,
"Kraut, Marie v.",Englisch,Übersetzungen,"vorzugsweise als Übersetzerin aus dem Französischen, Italienischen und Englischen thätig",,,,,,,,,
"Krejči, Marie Anna",Französisch,Institutsleiterin und Originalarbeiten,"die französische Sprache zur zweiten Muttersprache und befähigen Krejči, ihr Talent in französischen Originalarbeiten",,,,,,,,,
"Kremnitz, Mite",Rumänisch,Übersetzungen,Rumänische Dichtungen (mit Carmen Sylva) übers.,,,,,,,,,
"Krauschner, Irma",Russisch,Übersetzungen,Übersetzungen aus dem Russischen,,,,,,,,,
"Kurella, Marie",Englisch,Übersetzungen,"hat eine grosse Anzahl von Übersetzungen aus dem Englischen, Schwedischen und Italienischen veröffentlicht",,,,,,,,,
"Kurella, Marie",Schwedisch,Übersetzungen,"hat eine grosse Anzahl von Übersetzungen aus dem Englischen, Schwedischen und Italienischen veröffentlicht",,,,,,,,,
"Kurella, Marie",Italienisch,Übersetzungen,"hat eine grosse Anzahl von Übersetzungen aus dem Englischen, Schwedischen und Italienischen veröffentlicht",,,,,,,,,
"Kurz, Isolde",Französisch,Übersetzungen,"Sie war schon vom 12. Jahre an litterarisch thätig durch Übersetzungen aus dem Französischen, denen später solche aus dem Englischen, Italienischen, Russischen folgten",,,,,,,,,
"Kurz, Isolde",Englisch,Übersetzungen,"Sie war schon vom 12. Jahre an litterarisch thätig durch Übersetzungen aus dem Französischen, denen später solche aus dem Englischen, Italienischen, Russischen folgten",,,,,,,,,
"Kurz, Isolde",Italienisch,Übersetzungen,"Sie war schon vom 12. Jahre an litterarisch thätig durch Übersetzungen aus dem Französischen, denen später solche aus dem Englischen, Italienischen, Russischen folgten",,,,,,,,,
"Kurz, Isolde",Russisch,Übersetzungen,"Sie war schon vom 12. Jahre an litterarisch thätig durch Übersetzungen aus dem Französischen, denen später solche aus dem Englischen, Italienischen, Russischen folgten",,,,,,,,,
Küster Alice,Holländisch,Übersetzungen,"Schriftstellerisch ist sie thätig als Übersetzerin von Novellen u.a. aus dem Holländischen, Englischen und Französischen",,,,,,,,,
Küster Alice,Englisch,Übersetzungen,"Schriftstellerisch ist sie thätig als Übersetzerin von Novellen u.a. aus dem Holländischen, Englischen und Französischen",,,,,,,,,
Küster Alice,Französisch,Übersetzungen,"Schriftstellerisch ist sie thätig als Übersetzerin von Novellen u.a. aus dem Holländischen, Englischen und Französischen",,,,,,,,,
Kwaysser Marie,Böhmisch,Übersetzungen,Gedichte von Jaroslav Vrchlický. Autor. Übersetzg. aus dem Böhmischen,,,,,,,,,
Lachmann Hedwig,Ungarisch,Übersetzungen,"Ungarische Gedichte, übertr. v. H. L.",,,,,,,,,
Lagerström Angelica v.,Englisch,Übersetzungen,"Campanella, die kleine Geigerin. N. d. Engl. der Mrs. Mercier",,,,,,,,,
Lambert Jenny,Dänisch,Literatur,Nyeste Strikkebog. Med Mynstertegninger i Chemitypie. Oversat af J. F.,,,,,,,,,
Lammers Mathilde,Englisch,Übersetzungen,hat anfänglich aus dem Englischen übersetzt,,,,,,,,,
Landau Liese,Französisch,Übersetzungen,hat unter dem Ps. Kaliska aus dem Französischen und Englischen Romane und kleine Erzählungen übersetzt,,,,,,,,,
Landau Liese,Englisch,Übersetzungen,hat unter dem Ps. Kaliska aus dem Französischen und Englischen Romane und kleine Erzählungen übersetzt,,,,,,,,,
Landé Dora,Französisch,Übersetzungen,Die Frau vor der Wissenschaft. Autoris. Übers. d. Jacques Lourbet,,,,,,,,,
Landé Dora,Englisch,Übersetzungen,"Maggie das Strassenkind. Von Stephen Crane, autoris. Übers. von D. L.",,,,,,,,,
Landesberger Malvine,Französisch,Übersetzungen,"ist zumeist als Übersetzerin aus dem Französischen, Italienischen und Polnischen thätig",,,,,,,,,
Landesberger Malvine,Italienisch,Übersetzungen,"ist zumeist als Übersetzerin aus dem Französischen, Italienischen und Polnischen thätig",,,,,,,,,
Landesberger Malvine,Polnisch,Übersetzungen,"ist zumeist als Übersetzerin aus dem Französischen, Italienischen und Polnischen thätig",,,,,,,,,
Lange Helene,Französisch,Lehrmaterial,"einen, inzwischen bereits in 8. Auflage erschienenen »Précis de l'Histoire de la Littérature française«",,,,,,,,,
Lange Valerie,Polnisch,Übersetzungen,"fertigt Übersetzungen aus dem Polnischen, Russischen und Ruthenischen an",,,,,,,,,
Lange Valerie,Russisch,Übersetzungen,"fertigt Übersetzungen aus dem Polnischen, Russischen und Ruthenischen an",,,,,,,,,
Lange Valerie,Ruthenisch,Übersetzungen,"fertigt Übersetzungen aus dem Polnischen, Russischen und Ruthenischen an",,,,,,,,,
Langenau Baronin,Englisch,Übersetzungen,Nach dem Engl. des Rev. Hugh Price Hughes,,,,,,,,,
Langfeldt Margarete,Schwedisch,Übersetzungen,"Gösta Berling. Eine Sammlg. Erzählgn. aus dem alten Wermland, von Selma Lagerlöf. Aus dem Schwedischen übers, v. M. L.",,,,,,,,,
Langin Barbara Helena,Französisch,Literatur,schrieb französische und deutsche Gedichte,,,,,,,,,
Langsch C. Cäcilie,Ungarisch,Übersetzungen,"da sie der ungarischen Sprache nach jeder Richtung hin mächtig, Werke der besten ungarischen Schriftsteller",,,,,,,,,
Lauser Lili,Spanisch,Übersetzungen,Sie ist als Übersetzerin aus dem Spanischen und Französischen schriftstellerisch thätig,,,,,,,,,
Lauser Lili,Französisch,Übersetzungen,Sie ist als Übersetzerin aus dem Spanischen und Französischen schriftstellerisch thätig,,,,,,,,,
Lehmann-Filhès Margarete,Isländisch,Übersetzungen,Isländische Volkssagen aus der Sammlg. v. J. Árnason ausgewählt u.a. d. Isländ. übersetzt,,,,,,,,,
Lenschow Anna,Norwegisch-Dänisch,Übersetzungen,Übertragungen aus dem Norwegisch-Dänischen,,,,,,,,,
Leoni F.,Englisch,Übersetzungen,"Der Regenbogen in den Wolken, od. Worte des Trostes f. Stunden der Trübsal. Von J. R, Macduff. Frei nach dem Engl. v. F. L",,,,,,,,,
Leoni F.,Russisch,Übersetzungen,"Die Kursistin oder weibliche Studenten. Rom. von Meschtschersky. Übers, v. F. L.",,,,,,,,,
Leonrod Olga von,Englisch,Übersetzungen,"Die Cliffords. Eine Erzählg. a. d. vor. Jahrh., von Mrs. Alfred Montgomery. Übers, v. O. v. L.",,,,,,,,,
Lesser Sophie,Französisch,Übersetzungen,"Liebesirrtum. Übers, d. Pierre Maël",,,,,,,,,
Leutwein D.,Englisch,Übersetzungen,"Vier Erzählungen von einer Mutter für ihre Kinder. Aus dem Engl. übers, von D. L.",,,,,,,,,
Levêque-Bunsen Emma,Französisch,Übersetzungen,übersetzte aus dem Französischen und Englischen,,,,,,,,,
Levêque-Bunsen Emma,Englisch,Übersetzungen,übersetzte aus dem Französischen und Englischen,,,,,,,,,
Lewald Henriette,Englisch,Übersetzung,Das Pflegekind. Ein Rom. von Geraldine Endsor Jewsburg. Aus dem Engl. übers. von H. L.,,,,,,,,,
Liebenau A. von,Französisch,Übersetzung,Ihre Erstlingsarbeiten waren Übersetzungen aus dem Französischen nämlich »Ansprache an junge junge christliche Frauen« und Erzbischof Landriots berühmtes Buch »Die starkmutige Frau«,,,,,,,,,
Liebmann Jenny,Englisch,Übersetzung und Feuilleton,schreibt Feuilletons und übersetzt aus dem Englischen und Französischen,,,,,,,,,
Liebmann Jenny,Französisch,Übersetzung und Feuilleton,schreibt Feuilletons und übersetzt aus dem Englischen und Französischen,,,,,,,,,
Lieder Therese,Französisch,Übersetzung,Claudine. Historischer Rom. in 3 Bdn. von Gräfin Dash. Aus d. Französ. v. T. L.,,,,,,,,,
Linnekogel Hanna,Französisch,Übersetzung,hat Übersetzungen aus dem Französischen veröffentlicht,,,,,,,,,
Lion-Clausius,Englisch,Übersetzung,Unverstanden. Aus dem Englischen der Florence Montgomery. Autoris. Übers.,,,,,,,,,
Lippert v. Granberg Josephine,Italienisch,Übersetzung und Dichtung,Unter Ausonias Himmel. Lieder metrisch ins Italien übers. m. deutschem Originaltext,,,,,,,,,
Lobedan Helene,Englisch,Übersetzung,Sie ist vorzugsweise als Übersetzerin aus dem Englischen Französischen und Italienischen thätig,,,,,,,,,
Lobedan Helene,Französisch,Übersetzung,Sie ist vorzugsweise als Übersetzerin aus dem Englischen Französischen und Italienischen thätig,,,,,,,,,
Lobedan Helene,Italienisch,Übersetzung,Sie ist vorzugsweise als Übersetzerin aus dem Englischen Französischen und Italienischen thätig,,,,,,,,,
Loewi-Herwi Babette,Englisch,Übersetzung ihrer Werke,Einzelne ihrer Arbeiten wurden ins Englische und Italienische übersetzt,,,,,,,,,
Loewi-Herwi Babette,Italienisch,Übersetzung ihrer Werke,Einzelne ihrer Arbeiten wurden ins Englische und Italienische übersetzt,,,,,,,,,
Long Katharine,Englisch,Übersetzung,Sir Roland Aschton od.: d. Christen Glück im Unglück. Aus d. Engl.,,,,,,,,,
Longé Elisabeth,Dänisch,Übersetzung,A. d. Dänischen übersetzt,,,,,,,,,
Lortsch Franziska,Russisch,Übersetzung,zahlreiche Übersetzungswerke aus dem Russischen und Englischen,,,,,,,,,
Lortsch Franziska,Englisch,Übersetzung,zahlreiche Übersetzungswerke aus dem Russischen und Englischen,,,,,,,,,
Löwe Marie Luise,Spanisch,Übersetzung,Dolores von Campoamar. Übers a. d. Spanischen,,,,,,,,,
Löwenstein Prinzessin Franziska zu,Französisch,Übersetzung,hat das Werk Wibaux Zuave und Jesuit aus dem Französischen im Verein mit anderen übersetzt,,,,,,,,,
Lüben Bertha,Französisch,Übersetzung,Der Mövenfels. Nach J. Sandeau der deutschen Jagend erzählt,,,,,,,,,
Lucerna Camilla,Französisch,Sprachunterricht,ist derzeit Lehrerin der französischen Sprache am Mädchenlyceum in Agram,,,,,,,,,
Ludwig Ilse,Italienisch,Übersetzung und Kritik,Sie ist feuilletonistisch als Kritikerin und Übersetzerin aus dem Italienischen Französischen und Englischen thätig,,,,,,,,,
Ludwig Ilse,Französisch,Übersetzung und Kritik,Sie ist feuilletonistisch als Kritikerin und Übersetzerin aus dem Italienischen Französischen und Englischen thätig,,,,,,,,,
Ludwig Ilse,Englisch,Übersetzung und Kritik,Sie ist feuilletonistisch als Kritikerin und Übersetzerin aus dem Italienischen Französischen und Englischen thätig,,,,,,,,,
Maderny, Freifrau Helene von,Englisch,Übersetzungen,,,,,"Sie hat auch Übersetzungen aus dem Englischen, Französischen und Italienischen veröffentlicht",,,,
Maderny, Freifrau Helene von,Französisch,Übersetzungen,,,,,"Sie hat auch Übersetzungen aus dem Englischen, Französischen und Italienischen veröffentlicht",,,,
Maderny, Freifrau Helene von,Italienisch,Übersetzungen,,,,,"Sie hat auch Übersetzungen aus dem Englischen, Französischen und Italienischen veröffentlicht",,,,
Majdanska, Helena,Polnisch,Übersetzungen,,,,,Autor. Übers. von Heinr. Sienkiewicz (Litwos) aus dem Polnischen,,,,
Malcomes, Frau Baronin Gizella,Ungarisch,Journalismus,,,,,schreibt Feuilletons und Plaudereien für ungarische und deutsche Tages- und Familienblätter,,,,
Malcomes, Frau Baronin Gizella,Deutsch,Journalismus,,,,,schreibt Feuilletons und Plaudereien für ungarische und deutsche Tages- und Familienblätter,,,,
Maltzan, Malwine,Französisch,Übersetzungen,,,,,machte sich aber durch Übersetzungen aus dem Französischen bekannt,,,,
Malybrok-Stieler, O.,Böhmisch,Übertragungen,,,,,Lyrische Gedichte und Übertragungen nach böhmischer Kunst- u. Volks-Poesie,,,,
Mann, Frau Mathilde,Dänisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Mann, Frau Mathilde,Norwegisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Mann, Frau Mathilde,Schwedisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Mann, Frau Mathilde,Französisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Mann, Frau Mathilde,Englisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Mann, Frau Mathilde,Italienisch,Übersetzungen,,,,,"übersetzt aus dem Dänischen, Norwegischen, Schwedischen, Französischen, Englischen, Italienischen",,,,
Manteuffel, Frl. Else von,Englisch,Übersetzungen,,,,,"Auch Übersetzungen aus amerikanischen und englischen Werken, zumeist Poesieen",,,,
Marezoll, Karoline Luise Friederike,Englisch,Übersetzungen,,,,,Grace Dermott. Nach d. Engl.,,,,
Marquardt, Angelika von,Moderne Sprachen,Studium,,,,,gab sich dem Studium der modernen Sprachen hin,,,,
Marx, Frl. Klara,Französisch,Übersetzungen,,,,,ihre grosse Gewandtheit im Übersetzen in und aus diesen Sprachen,,,,
Marx, Frl. Klara,Englisch,Übersetzungen,,,,,ihre grosse Gewandtheit im Übersetzen in und aus diesen Sprachen,,,,
Mary,Französisch,Übersetzungen,übersetzte aus dem Französischen und Italienischen,,,,,,,,,
Mary,Italienisch,Übersetzungen,übersetzte aus dem Französischen und Italienischen,,,,,,,,,
Matthes, Frl. Valerie,Italienisch,Übertragungen und Essays,,,,,ihre metrischen Übertragungen italienischer Poesieen und auf ihre biographisch-kritischen Essays über die hervorragendsten italienischen Dichter der Gegenwart,,,,
Maune. Agnes,Dänisch,Übersetzungen,Praktisches Kochbuch von A. M. Mangor. Aus der 32. Auflage des Dän. frei übers. von A. M.,,,,,,,,,
Megerle von Mühlfeld, Therese,Französisch,Dramenbearbeitungen,,,,,Die Obsthändlerin des Königs. Drama nach dem Französ.,,,,
Megerle von Mühlfeld, Therese,Englisch,Dramenbearbeitungen,,,,,Onkel Tom. Drama nach dem Amerikanischen,,,,
Meienberg, Marie,Französisch,Dramenbearbeitung,,,,,"Suema, die kleine afrikanische Negerin. Drama in 5 Aufzügen, frei nach dem Franz. bearb.",,,,
Meister, Hulda,Englisch,Übersetzungen,,,,,"als Übersetzerin aus dem Englischen, Französischen, Italienischen, Spanischen, Portugiesischen thätig",,,,
Meister, Hulda,Französisch,Übersetzungen,,,,,"als Übersetzerin aus dem Englischen, Französischen, Italienischen, Spanischen, Portugiesischen thätig",,,,
Meister, Hulda,Italienisch,Übersetzungen,,,,,"als Übersetzerin aus dem Englischen, Französischen, Italienischen, Spanischen, Portugiesischen thätig",,,,
Meister, Hulda,Spanisch,Übersetzungen,,,,,"als Übersetzerin aus dem Englischen, Französischen, Italienischen, Spanischen, Portugiesischen thätig",,,,
Meister, Hulda,Portugiesisch,Übersetzungen,,,,,"als Übersetzerin aus dem Englischen, Französischen, Italienischen, Spanischen, Portugiesischen thätig",,,,
Mestorf, Frl. Johanna,Nordische Sprachen,Übersetzungen,,,,,"beschäftigte sich mit Vorliebe mit litterarischen Arbeiten, Übersetzungen aus der nordischen Litteratur",,,,
Metzsch, Alma von,Englisch,Übersetzungen,,,,,Barbara. Ein Lebensbild a. d. Engl. der Amalia B. Edwards,,,,
Mewes, Ida,Schwedisch,Übersetzungen,,,,,Sagen des Fähnrichs Stal. Übers. aus dem Schwed. d. Runeberg,,,,
Meyer-Cohn, Frau Helene,Französisch,Übersetzungen,,,,,ist als Übersetzerin aus dem Französischen und Polnischen thätig,,,,
Meyer-Cohn, Frau Helene,Polnisch,Übersetzungen,,,,,ist als Übersetzerin aus dem Französischen und Polnischen thätig,,,,
Michaëlis, Frl. Henriette,Italienisch,Wörterbücher,,,,,Vollständiges Wörterbuch d. italienischen u. deutschen Sprache,,,,
Michaëlis, Frl. Henriette,Portugiesisch,Wörterbücher,,,,,Neues Wörterbuch der portugiesischen u. deutschen Sprache,,,,
Michaëlis, Frl. Henriette,Englisch,Wörterbücher,,,,,A new dictionary of the Portuguese and Engl. languages,,,,
Michaëlis de Vasconcellos, Frau Karoline,Spanisch,Literarhistorische Studien,,,,,Studien zur hispanischen Wortdeutung,,,,
Michaëlis de Vasconcellos, Frau Karoline,Portugiesisch,Literarhistorische Studien,,,,,Versuch über den Ritterroman Palmeirim de Inglaterra,,,,
Mirbach, Frl. Margarete,Französisch,Übersetzungen,,,,,"schreibt Poesieen und Novellen, Übersetzungen aus dem Französischen, Englischen, Holländischen",,,,
Mirbach, Frl. Margarete,Englisch,Übersetzungen,,,,,"schreibt Poesieen und Novellen, Übersetzungen aus dem Französischen, Englischen, Holländischen",,,,
Mirbach, Frl. Margarete,Holländisch,Übersetzungen,,,,,"schreibt Poesieen und Novellen, Übersetzungen aus dem Französischen, Englischen, Holländischen",,,,
Mirus, Elise,Englisch,Übersetzungen,,,,,Eine Erzählung aus dem heutigen Rom von Mademoiselle Mori. Aus dem Engl. v. E. M.,,,,
Mitzlaff, Eugenie von,Englisch,Übersetzungen,,,,,Die Dämmerung des Lichts. Eine Geschichte aus der Zenana-Mission von Mary L. Leslie. Autoris. Übersetzg. von E. v. M.,,,,
Möder, Frl. Auguste,Englisch,Pädagogische Aufsätze,,,,,"Ihre Aufsätze, pädagogischen Inhalts, sind in englischer Sprache geschrieben und in englischen Zeitschriften erschienen",,,,
Mohnicke, Selma,Englisch,Übersetzungen,,,,,Gesellschaft u. Einsamkeit. Von Waldo Ralph Emerson. Aus dem Engl. v. S. M.,,,,
Mohr, Frl. Marie L. F.,Holländisch,Übersetzungen,,,,,"M. Mohr übersetzt auch aus dem Holländischen, Französischen, Englischen und Italienischen",,,,
Mohr, Frl. Marie L. F.,Französisch,Übersetzungen,,,,,"M. Mohr übersetzt auch aus dem Holländischen, Französischen, Englischen und Italienischen",,,,
Mohr, Frl. Marie L. F.,Englisch,Übersetzungen,,,,,"M. Mohr übersetzt auch aus dem Holländischen, Französischen, Englischen und Italienischen",,,,
Mohr, Frl. Marie L. F.,Italienisch,Übersetzungen,,,,,"M. Mohr übersetzt auch aus dem Holländischen, Französischen, Englischen und Italienischen",,,,
Moleschott, Sophie,Italienisch,Übersetzungen,,,,,Dasselbe. Ricordi di una madre,,,,
Montez, Lola,Französisch,Autobiografie,,,,,Abenteuer einer Tänzerin. Von ihr selbst erzählt. Aus dem Französ.,,,,
Montgomery, Florence,Englisch,Übersetzungen,,,,,Der Ausrufer. Autoris. Übersetzg. v. M. M.,,,,
Moor, Anna von,Französisch,Übersetzungen,,,,,Für ihre Übersetzungen französischer Klassiker hat sie sich den »Meister« -Titel des freien deutschen Hochstifts erworben,,,,
Morgenstern, Frl. Marie,Englisch,Übersetzungen,,,,,"Mit äusserster geistiger und körperlicher Anstrengung brachte sie es dahin, ein englisches Buch zu übersetzen; nun tragen 54 Bücher, die sie übersetzt hat, ihren Namen",,,,
Morris, Frl. Rosa,Englisch,Übersetzungen,,,,,"übersetzt aus dem Englischen, Französischen und Schwedischen",,,,
Morris, Frl. Rosa,Französisch,Übersetzungen,,,,,"übersetzt aus dem Englischen, Französischen und Schwedischen",,,,
Morris, Frl. Rosa,Schwedisch,Übersetzungen,,,,,"übersetzt aus dem Englischen, Französischen und Schwedischen",,,,
Mucha-Eltz Ida,v.,Englisch,Übersetzungen,,,,,übersetzt aus dem Englischen,,,,
Müller Elisabeth,Englisch,Übersetzungen,ferner Übersetzungen aus dem Englischen und Französischen,,,,,,,,,
Müller Elisabeth,Französisch,Übersetzungen,ferner Übersetzungen aus dem Englischen und Französischen,,,,,,,,,
Najmájer Marie,von,Ungarisch,Muttersprache/perfekte,,,,,Beherrschung,nachdem sie Ungarisch und Französisch vollkommen beherrschte,,,
Najmájer Marie,von,Französisch,perfekte,,,,,Beherrschung,nachdem sie Ungarisch und Französisch vollkommen beherrschte,,,
Najmájer Marie,von,Deutsch,später,,,,,erlernt,für,literarisches,Schaffen,"Hier lernte sie erst deutsch, nachdem sie Ungarisch und Französisch vollkommen beherrschte"
Nigg Marianne,Französisch,erlernt,"Ausserdem lernte sie französisch, englisch und italienisch",,,,,,,,,
Nigg Marianne,Englisch,erlernt,"Ausserdem lernte sie französisch, englisch und italienisch",,,,,,,,,
Nigg Marianne,Italienisch,beruflich,als,,,,,Professorin,wirkte später als Professorin der italienischen Sprache drei Jahre hindurch,,,
Niemeyer Luise,Englisch,Übersetzungen,Sie wirkt als Übersetzerin aus dem Englischen,,,,,,,,,
Norden Freia,Holländisch,Übersetzungen,"Aus d. Holl übers, v. F. N.",,,,,,,,,
Nusko Maruša,Latein,Sprachunterricht,"Professor Sladek unterrichtete sie in altklassischer und czechischer Litteratur, lateinischer Sprache",,,,,,,,,
Nusko Maruša,Tschechisch,Literaturstudium,"Professor Sladek unterrichtete sie in altklassischer und czechischer Litteratur, lateinischer Sprache",,,,,,,,,
Nusko Maruša,Russisch,Übersetzung,übersetzte die Epen der russischen Dichter Puschkin und Lermontoff,,,,,,,,,
