identifier,original,surname_y,prename_y,Zusatz,alternative_names_y,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
11696300X,Mayer-Bergwald Anna,Mayer-Bergwald,Anna,,,Ansbach,Traunstein,1852-05-11,1935-11-13,"Mayer-Bergwald, Anna, Biographie s. Anna Mayer.","‒ Alles mit Gott. München 1897, Gebr. Obpacher. ‒ Alpenluft. Heise Erinnergn. (Im Anschluss an: »Aus meiner Wandermappe«.) 8. (232) Ansbach 1897, C. Brügel & Sohn. geb. n 3.60 ‒ Am Tisch des Herrn. München 1897, Gebr. Obpacher. ‒ Auf lichten Wegen. Ebda. 1893. ‒ Aus Flur und Hain. Ebda. 1897. ‒ Aus meiner Wandermappe. Reiseskizzen. 8. (217) Garmisch 1895, A. Adam. 2.– ‒ Bergfahrten. Erzählg. für Kinder. Berlin 1897, Verlag des christlichen Zeitschriftenvereins. ‒ Bete u. Arbeite. München, Gebr. Obpacher. ‒ Das Märchen vom Badersee. Garmisch, A. Adam. –.40 ‒ Das Märchen vom Staffelsee. Murnau, Fürst. –.30 ‒ Das Wald-Liserl. Erzählg. für Kinder. 12. (ca. 16 m. 1 Farbendr.) Berlin 1896, Verlag des christlichen Zeitschriften Vereins. –.05 ‒ Des Jahres Neige. München 1893, Gebr. Obpacher. ‒ Ein Bergstrauss. Ebda. 1893. ‒ Einsame Pfade. Ebda. 1897. ‒ Eisblumen. Ebda. ‒ Im Dienste des Guten. Ebda. 1897. ‒ Oberbayerische Dorfgeschichten. 8. (186 m. Bildnis.) Ansbach 1894, C. Brügel & Sohn. geb. n 2.40 ‒ Offener Brief an die Werdenfelserinnen. Garmisch, A. Adam. –.40 ‒ Poesie in der Natur. 1894. ‒ Schneeflocken u. Sonnenstrahlen. München 1894, Gebr. Obpacher. ‒ Stimmen der Natur. Ebda. 1897. ‒ Unserer Vöglein Not. Berlin 1897, Berliner Tierschutzverein. ‒ Von Herz zu Herzen. München 1894, Gebr. Obpacher. ‒ Waldmärchen. Ebda. 1893. ‒ Waldrast. Ebda. 1897. ‒ Waldvogellieder. Ebda. 1893. ‒ Zur Ehre Gottes. Ebda. ‒ In Vorbereitung: Am Weg brockt. Oberbayer. Dialekt-Dichtg. a) Eisbleamln, b) Hirbstbleamln. – Fortsetzg. der Dorfgeschichten. – Fürs Kinderherz. – Mädchenbuch. – Typen aus den Bergen u. Aus der Bergwelt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118732382,Mayreder-Obermayer Rosa,Mayreder-Obermayer,Rosa,,,Wien,Wien,1858-11-30,1938-01-19,"Mayreder-Obermayer, Rosa, Wien, geboren zu Wien 30. November 1858, ist seit 1881 verheiratet mit Professor Karl Mayreder, Architekt und Chef des Regulierungsbureaus der Stadt Wien. Sie ist Verfasserin des Textes zu der am 7. Juni 1896 in Mannheim das erste Mal aufgeführten Oper: »Der Corregidor«, komponiert von Hugo Wolf. Ein Teil der in Buchform herausgegebenen unten angeführten Novellen war schon früher in der Berliner Neuen Deutschen Rundschau »Freie Bühne«, sowie in der Wiener Zeitschrift »Neue Revue« erschienen. Frau R. M. ist auch Vice-Präsidentin des »Allgemeinen österreichischen Frauenvereins«, der in der Frauenbewegung den radikalen Standpunkt vertritt. Neben der Schriftstellerei widmet sie sich auch der Malerei.","‒ Aus meiner Jugend. Drei Nov. 8. (289) Dresden 1896, E. Pierson. 4.–geb. n 5.– ‒ Übergänge. Nov. 8. (267) Ebda. 1897. 4.–",,,,Mannheim,Wien,Berlin,,,,,,,,,,,,,,,,,,,,,,,
116992360,Megerle von Mühlfeld Therese,Megerle von Mühlfeld,Therese,,,Preßburg,Wien,1813-05-12,1865-07-01,"Megerle von Mühlfeld, Therese, geb. Pop von Popenburg, geboren zu Pressburg 1813, gestorben am 4. Juli 1865 in Wien.","‒ Die Armen u. Elenden. 8 Bilder aus dem franz. Volksleben. 8. (37) Wien 1864, Wallishaussers Buchhandlung. n 1.20 ‒ Die beiden Grasel. Rom. 1848. ‒ Die Obsthändlerin des Königs. Drama nach dem Französ. 8. (37) Wien 1853, Wallishaussers Buchhandlung. n 1.– ‒ Die Verlassene. 8. (36) Ebda. 1863. n 1.20 ‒ Ein weiblicher Monte-Christo. Drama. 8. (39) Ebda. 1859. n 1.20 ‒ Eine Bauernfamilie. ‒ Im Dorfe. Lustsp. 8. (36) Wien 1859, Wallishaussers Buchhandlung. –.80 ‒ Novellen u. Erzählungen. 3 Bde. 12. (344) Pressburg 1844, Schaiba. 9.– ‒ Onkel Tom. Drama nach dem Amerikanischen. 8. (37) Wien 1853, Wallishaussers Buchhandlung. 1.–",Megerle von Mühlfeld Therese,"»Maledetto, der Bandit von Frascati« Spektakelstück. Werke s. Band II.",,Pressburg,Wien,,,,,,,,,,,,,,,,,,,,,,,,
12750446X,Meinhardt Adalbert,Meinhardt,Adalbert,,,,,1848,1911,"Meinhardt, Adalbert, Biographie s. Marie Hirsch. 1. Das Leben ist golden. 2. Die Vierte. 3. Reue.","‒ Aus den Briefen einer Mutter an ihre Mutter. 8. (178) Berlin 1893, Gebrüder Paetel. 3.–geb. 4.50 ‒ Ausgewählte Legenden u. Gedichte. Von Gustav A. Becquer. Aus dem Spanischen übers. Leipzig 1880, W. Friedrich. 3.–geb. 4.– ‒ Das blaue Buch. Märchen u. Skizzen. 8. (240) Ebda. 1892. 3.–geb. 4.50 ‒ Das Leben ist golden. Drei Nov. 8. Ebda. 1897. 4.–geb. 5.50 ‒ Mimen. Moderne Zwiegespräche. 8. (228) Ebda. 1895. 4.–geb. 5.50 ‒ Miranda. Von Antonio Fogazzaro. Aus dem Italienischen. Leipzig 1881, W. Friedrich. 2.–geb. 3.– ‒ Norddeutsche Leute. (Auf dem Heilwigshof. To Hus is best.) Nov. 8. (178) Berlin 1896, Concordia. 3.–geb. 4.– ‒ Reiseu. Heimats-Novellen. 8. (247) Berlin 1891, Gebrüder Paetel. ‒ Reisenovellen. (Schloss Polia. Der Bildhauer v. Cauterets. Frau Antje. Regatta.) 8. (278) Ebda. 1885. n 5.–geb. nn 6.50 ‒ Vier Novellen. (Alt Heidelberg. Georg Hansen. Die Mönche von Fontana. Der Falke.) 8. (367) Braunschweig 1887, Westermann. n 5.–Einbd. nn 1.– ‒ Weshalb? Neue Nov. (Weshalb? Im Nonnengarten. Eine Studienreise.) 8. (265) Ebda. 1889. n 3.60Einbd. nn 1.–",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034670573,Meinhold Elfrid,Meinhold,Elfrid,,,,,1868-08-25,1906-11-04,"Meinhold, Frl. Elfrid, München, Herman Schmidtstrasse 5 0, geboren 1868 auf der Burg Crimmitschau a. d. Pleisse. Im jugendlichen Alter verlor sie ihren Vater. Die Mutter zog nach Dresden. Ein Pensionsjahr am Neuchâteler See, ein sechsmonatlicher Aufenthalt in der Schweiz, Paris, Florenz und Rom halfen ihr neben selbstständigen, besonders historischen Studien, sich weiter zu entwickeln. Nach der Heimkehr begann sie den, von ihr mit Vorliebe studierten Reformationsstoff zu dramatisieren.","‒ Der Nordpolfahrer. Drama. 8. (42) Dresden 1898, E. Pierson. 1.– ‒ Herzog Moritz von Sachsen. Drama in 5 Akten. ‒ Judas. Drama. 8. (42) Dresden 1898, E. Pierson. 2.–",,,,Crimmitschau,Neuchâtel,Rom,Paris,Florenz,München,Rom,Dresden,,,,,,,,,,,,,,,,,,
116885904,Mentzel Elisabeth,Mentzel,Elisabeth,,,Marburg,Frankfurt am Main,1847-03-11,1914-02-18,"Mentzel, Frau Elisabeth, geb. Schippel, Frankfurt a. M., Elsheimerstrasse 11, wurde zu Marburg in Hessen geboren, als Tochter eines dortigen Bürgers. Während des Krieges 1870–1871 war sie als Pflegerin der Verwundeten thätig, welche Thätigkeit sie zu ihren ersten Gedichten »Lieder der Zeit« anregte. Von 1872–1878 war sie Lehrerin an einer Schule in Frankfurt a. M. Dann verheiratete sie sich. Während dieser Zeit betrieb sie eifrig das Studium der deutschen Litteratur und Theatergeschichte und sammelte auf diese Weise das","‒ Alte Hausmittel. Charakterbild. 8. (36) Frankfurt a. M. 1895, Voigt & Gleiber. n –.75 ‒ Der Räuber. Volksstück. 8. (122 m. 1 Notenbeilage) Frankfurt a. M. 1894, Reitz & Köhler. 2.– ‒ Der Waldhannes. Nov. Lahrer Hinkende Bote. 1895. ‒ Die drei Gaben. Romantisches Gedicht. Marburg 1879, O. Ehrhardt. ‒ Die Maikönigin. Erzählg. a. d. 15. Jahrh. 8. (234) Frankfurt a. M. 1888, Iügels Verlag. n 3.–geb. n 4.– ‒ Feldnelken. Hessische Dorfgeschichten: Der braune Tob. – Die Tochter des Bündeljuden. – Die Muntermoni. 8. (341) Frankfurt a. M. 1885, Sauerländer. n 4.–geb. n 5.– ‒ Feldspat. 3 Erzählgn. a. Hessen. 8. (272) Leipzig 1890, Liebeskind. n 3.– ‒ Frankfurter Novellen. 8. (256) Frankfurt a. M. 1897, Litterarische Anstalt. geb. n 4.50 ‒ Geschichte der Schauspielkunst in Frankfurt a. M. von ihren ersten Anfängen bis zur Eröffnung des städtischen Komödienhauses. 8. (554 m. 2 Photolith.) Frankfurt a. M. 1882, Völcker. n 10.– ‒ Lieder der Zeit. 2. Aufl. Marburg 1872, Elwert. ‒ Marburg. 8. (27 m. 28 Abbildgn.) Ebda. 1896. n 1.– ‒ Wickers Henner am Scheidewege. Erzählg. aus d. Marburger Bürgerleben. 12. (151) Marburg 1894, O. Ehrhardt. n 1.20",Schippel Elisabeth,Biographie u. Werke s. Elisabeth Mentzel.,,Frankfurt a. M.,Marburg,,,,,,,,,,,,,,,,,,,,,,,,
116539801,Merk Emma,Merk,Emma,,,München,München,1854-06-15,1925-07-11,"Merk, Frl. Emma, München, Schönfeldstrasse 5 II, ebenda geboren, am 15. Juni 1854, verlebte sie eine glückliche, sorgenlose Jugend. Ihre Arbeiten sind in verschiedenen Zeitschriften zerstreut. Eine Reihe Novellen sind in der »Bibliothek der Unterhaltung und des Wissens« veröffentlicht, andere in »Vom Fels zum Meer«, »Gartenlaube«, »Universum«, »Bazar«, »Frankfurter-Zeitung«, »Illustrierte Frauen-Zeitung« und vielen anderen Blättern. und E. Spitzer. Evas Töchter. Fol. (60 m. z. Tl. farb. Bildern u. 8 farb. Taf.) München 1893, F. Hanfstaengel. In Plüsch-Einbd. bar 60.–","‒ Chiemsee Novellen. Leipzig 1897, A. Schumann. 2.– ‒ In enger Gasse. Leipzig 1897, A. Schumann. geb. n 1.–",,,,Fels,München,,,,,,,,,,,,,,,,,,,,,,,,
117370231,Meske Mathilde,Meske,Mathilde,,,,,1838-02-27,1907-05-24,"Meske, Frau Mathilde, geb. Küttner, verwitwete Regierungsbaumeister, Steglitz bei Berlin, Fichtestrasse 47, bekannt unter ihrem Theaterund Schriftstellernamen Mathilde Veneta, am 27. Februar 1838 zu Burkau in Sachsen geboren. Im Alter von 14 Jahren schon darauf angewiesen, sich selbständig zu machen, widmete sie sich aus innerstem Drange ganz unvorbereitet der Bühnenlaufbahn und trat 1854 zu Meissen in einer kleinen Rolle zum erstenmale, 1858 am Hoftheater in Dresden auf. Zwei Jahre später erkrankte sie ernstlich und bedurfte es voller sieben Jahre der Pflege zur Herstellung der Gesundheit. Während dieser Zeit lebte sie meistens in Italien, Algier, Egypten, Korfu und deutschen Bädern. Erst im Jahre 1868 konnte sie ihre Thätigkeit als Schauspielerin wieder aufnehmen, zunächst in einem längeren Gastspiel in Mannheim, dem dann ein Engagement am Hofburgtheater in Wien folgte. An der Seite Marie Seebachs feierte sie 1870–71 Triumphe, die sich dann in San Francisco am deutschen Theater in monatelangem Gastspiel, und auch als die Künstlerin in englischer Sprache als Lady Macbeth auftrat, fortsetzten. Krank zurückgekehrt, übernahm sie nach ihrer Genesung 1873 die Direktion des damaligen Berliner Stadttheaters auf eigene Rechnung. Im Dezember 1875 verheiratete sie sich mit dem Regierungsbaumeister Meske. Im Winter 1885–86 war sie wieder fünf Monate lang im Residenztheater zu Berlin thätig und trat zum letztenmale auf in einer Vorstellung der »Freien Bühne« als Matrona in L. Tolstois »Macht der Finsternis« im Lessingtheater. Privatinteressen führten sie 1888 abermals nach Amerika, wo sie längere Zeit in Neu-Mexiko und Arizona zubrachte und das Indianerleben in nächster Nähe kennen lernte. Sie beschäftigte sich auch ausnahmsweise mit dramatischem Unterrichtgeben. Als Dichterin, Schriftstellerin und Journalistin war sie gleichfalls thätig. Werke s. Mathilde Veneta.",,Veneta Mathilde,Biographie s. Mathilde Meske.,"‒ Dorcas Mora. Erzählg. aus dem Leben einer Schauspielerin. 1. Aufl. 1886. 2. Aufl. 1887. 8. (181) Berlin, Stuhr – Dresden, Hönsch & Tiesler. Vergriffen. 2.–erm. Pr. –.50 ‒ Einsame Stunden. Gedichte. 1861. (Vergriffen.) ‒ Reisebriefe aus verschiedenen Epochen.",Mannheim,Wien,Korfu,San Francisco,Berlin,Algier,Dresden,Meissen,Steglitz,Burkau,,,,,,,,,,,,,,,,
116943548,Mestorf Johanna,Mestorf,Johanna,,,Bad Bramstedt,Kiel,1828-04-17,1909-07-20,"Mestorf, Frl. Johanna, Kiel, Burgstrasse 2, geboren 17. April 1829 zu Bramstedt in Holstein, wo ihr Vater als Arzt lebte. Ihre Erziehung erhielt sie im Blöckerschen Institute in Itzehoe. Nach ihrer Einsegnung ging sie nach Schweden und lebte abwechselnd in Schweden und Holstein. Aus Gesundheitsrücksichten machte","‒ Das erste Auftreten des Eisens, Undset. Übersetzg. 1882. ‒ Der archäologische Kongress in Bologna. 8. (48) Hamburg 1871, O. Meissner. n 1.– ‒ Der internationale archäologische u. anthropologische Kongress in Stockholm am 7. bis 16. August 1874. 7. Versammlg. 8. (75) Ebda. 1874. n 1.– ‒ Der internationale Anthropologenu. Archäologen-Kongress in Budapest v. 4. bis 11. September 1876. 8. Versammlg. Aufzeichngn. 8. (63) Ebda. 1876. n 1.– ‒ Die vaterländischen Altertümer Schleswig-Holsteins. 8. (32 m. 15 H) Ebda. 1877. n 1.– ‒ Führer durch das Schleswig-Holstein-Museum. 1893. ‒ Heidnisches Zeitalter in Schweden, Hildebrand. Übersetzg. 1873. ‒ Nordische Bronzezeit, Sophus Müller. Übersetzg. 1877. ‒ Tierornamentik in Norden, Sophus Müller. Übersetzg. ‒ Ureinwohner des skandinavischen Nordens, Nilson Übersetzg. 1862. ‒ Urnenfriedhöfe in Schleswig-Holstein. 8. (104 m. H., 12 Taf. u. 1 Karte.) Hamburg 1886, O. Meissners Verlag. n 6.– ‒ Ursprung u. erste Entwickelung der Bronzekultur im südöstlichen Europa, S. Müller. Übersetzg. 1883. ‒ Vierzigster Bericht des Museums vaterländischer Altertümer in Kiel. ‒ Vorgeschichte des Nordens, Vorsage. Übersetzg. 1878. ‒ Vorgeschichtliche Altertümer aus Schleswig-Holstein. 765 Fig. auf 62 Taf. In Photolith. 8. (35) Hamburg 1885, O. Meissners Verlag. geb. n 10.– ‒ Wibeke Kruse, eine holsteinische Bauerntochter. 8. (199) Ebda. 1867. 2.25 ‒ Zur Nibelungensage, SäveEinfluss d. klass. Völker, Viberg etc. Übersetzgn. 1867.",,,,Bramstedt,Itzehoe,Kiel,,,,,,,,,,,,,,,,,,,,,,,
135662044,Meyer Martha,Meyer,Martha,,,,,1867-01-19,1944,"Meyer, Martha, Ps. M. Folkart, Erich Frey, Berlin W., Kalckreutherstrasse 10, geboren in Berlin, von israelitischen Eltern, hatte sie als »nachdenkliche Natur« stets einen »Hang zur Schriftstellerei«. Seit langer Zeit hat sie Erzählungen, Novellen, Skizzen, Artikel unter dem Pseudonym M. Folkart oder Erich Frey in verschiedenen Blättern veröffentlicht.",,,,,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
101141769,Meyer Rahel,Meyer,Rahel,,,,,1806-03-11,1874-02-08,"Meyer, Rahel, geb. Weiss, Schriftstellername Rahel, geboren den 11. März 1806 in Danzig, gestorben den 8. Februar 1874 in Berlin. Werke s. Rahel.",,,,,Danzig,Berlin,,,,,,,,,,,,,,,,,Spanisch,Portugiesisch,,,,,,
116563559,Michaelson Margarete,Michaelson,Margarete,,,Berlin,Berlin,1873-05-24,1924-12-12,"Michaelson, Margarete, Ps. Ernst Georgy, Berlin W., Steglitzerstrasse 51, geboren zu Berlin am 24. Mai 1873, verlebte sie ihre Kindheit in einem geistig äusserst anregenden Elternhause. Nach absolvierter Schulzeit trat sie in ein Lehrerinnenseminar und bestand im Oktober 1891 ihr Lehrerinnenexamen, dem im Jahre 1892 noch ein sprachwissenschaftlichesund ein Handarbeitsexamen folgte. Weite Reisen erweiterten ihren Gesichtskreis, so dass sie schon sehr früh unter verschiedenen Pseudonymen kleine Novellen und Übersetzungen in Zeitschriften unterbrachte. Nach langen schweren Kämpfen entschloss sie sich, ihren ersten grossen Roman: »Aus Leidenschaft« einem Verleger vorzulegen. Derselbe nahm ihn sofort an und er erschien 1896 unter dem Pseudonym Ernst Georgy. Inzwischen wurden von grösseren Zeitschriften mehrere Novellen veröffentlicht. Werke s. auch Ernst Georgy.","‒ Erlöserin. Berlin 1897, Carl Duncker. 2.–geb: 3.– ‒ Unmöglich geworden. Berlin 1898, Fussinger. –.50geb. 1.–",,,,Rom,Berlin,Rom,Steglitz,,,,,,,,,,,,,,,,,,,,,,
138382565,Miethe Karoline,Miethe,Karoline,,,,,1834,,"Miethe, Karoline, Ps. C. Thieme, Potsdam, geboren am 14. März 1834 zu Berlin als die Tochter des königlichen Hauptmünz-Rendanten Wilhelm Goedeking, lebt seit 1857 als Gattin des Staatsrats A. Miethe in Potsdam. Sie ist seit 1869 für die verschiedensten Zeitungen und Zeitschriften schriftstellerisch thätig, und schreibt Novellen und Romane.","‒ Axenstein. Doppelnov. 8. (187) Berlin 1894, R. v. Decker. 3.–",,,,Rom,Potsdam,Berlin,Rom,,,,,,,,,,,,,,,,,,,,,,
117029009,Migerka Helene,Migerka,Helene,,,,,1867,1929,"Migerka, Frl. Helene, Wien II/2, Czerningasse 7, Tochter der Katharina Migerka (siehe diese) ist am 13. September 1867 in Brünn geboren. Ihr Gebiet ist die Poesie, doch herrscht in ihren Dichtungen die Satire vor. Sie veröffentlichte Gedichte in verschiedenen Zeitschriften. Gesammelt sind:","‒ Gedichte. 8 (175) Wien 1889, Szelinski. n 2.– ‒ Neue Gedichte. 8. (196) Leipzig 1895, G. Wigand. n 3.–geb. n 4.–",,,,Wien,,Wien,Brünn,,,,,,,,,,,,,,,,,,,,,,
138412588,Migerka Katharina,Migerka,Katharina,,,Tilsit,Graz,1844-12-08,1922-09-21,"Migerka, Frau Katharina, Wien II/2, Czerningasse 7, geboren am 8. Dezember 1844 in Tilsit in Ostpr., kam nach ihrer Verheiratung nach Brünn in Mähren und 1872 nach Wien, wohin ihr Gatte ins Handelsministerium berufen und 1883 zum Central-Gewerbeinspektor ernannt wurde. Ausser ihren Reisebriefen, die das Ergebnis einer Reise nach Amerika sind, und ausser einer Volkserzählung hat K. M. nur im Interesse der Wohlfahrt und Hebung der unbemittelten und arbeitenden Klassen geschrieben. Sie ist Mitarbeiterin verschiedener Volksbildungs-Zeitschriften.","‒ Anleitung zur Schaffung v. Haushaltungs-Abendschulen f. unbemittelte Mädchen. (Anh.: Kochrezepte m. Preisangaben. 2. Aufl. 8. (84) Wien 1897, Gg. Szelinski. n 1.– ‒ Briefe aus Philadelphia (1876) an eine Freundin. 8. (144) Wien 1877, Gerolds Sohn. n 2.40 ‒ Das häusliche Glück. Für österreichische Verhältnisse umgearbeitet v. K. Migerka. 1889. 5. Aufl. 1895. ‒ Die stolze Lehne. Erzählg. f. d. Volk. 2. Aufl. 8. (200) (1889) 1894, Wien, G. Szelinski. n 1.– ‒ Dr. Barnardos Homes. (Rettungsu. Wohlfahrts-Anstalten) 8. (41) Ebda. 1892. n –.50",,,,Tilsit,Wien,,Wien,Brünn,,,,,,,,,,,,,,,,,,,,,
117008338,Minna,,Minna,,,Berlin,Wiesbaden,1804-04-08,1886-06-28,Minna s. Minna v. Mädler.,"‒ Lilli (in 10 Liedern). Hannover 1826, Hahn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050402022,Mirbach Margarete,Mirbach,Margarete,,,,,1852-08-05,1898-10-06,"Mirbach, Frl. Margarete, Ps. Mathilde Martin, August Urbani, Raphael v. Winthern, Königswinter a. Rh., Hauptstrasse 76, geboren ebenda den 5. August 1852, schreibt Poesieen und Novellen, Übersetzungen aus dem Französischen, Englischen, Holländischen.","‒ Aus stiller Welt. Ein Trostbüchlein. 8. (118) Dülmen 1890, Laumann. n 1.50geb. n 2. 50 ‒ Im Kampfe um die Ehre. Erzählg. nach dem Holl. 8. (280 m. 2 Photograv.) Regensburg 1896, Nationale Verlagsanstalt. n 3.–geb. n 4.–m. Goldschn. n 4.50 ‒ Kreuz und Kalvarienberg. Übersetzg. 8. (222) Dülmen 1890, Laumann. geb. –.75",Urbani August,s. Margarete Mirbach.,,Königswinter,Königswinter a. Rh.,,,,,,,,,,,,,,,,,Englisch,,,,,,,
117848131X,Möder Auguste,Möder,Auguste,,,Eisenach,,1830,1897,"Möder, Frl. Auguste, geboren am 2. März 1830 zu Eisenach, als Tochter eines höheren Baubeamten und älteste von sieben Geschwistern, musste sie im Hause schon früh mit Hand anlegen. Sie erwählte den Lehrerinnenberuf und besuchte eine geeignete Schule in Dresden. Eine Erzieherinnenstelle in London bot ihr weitere Gelegenheit, ihre pädagogischen Kenntnisse zu befestigen und sich in der englischen Sprache zu vervollkommnen. Von 1856–57 lag die Leitung einer Schule in ihren Händen. Während dieser Zeit war sie auch zuerst schriftstellerisch thätig. Ihre Aufsätze, pädagogischen Inhalts, sind in englischer Sprache geschrieben und in englischen Zeitschriften erschienen. Nach einem Aufenthalt in Paris während der Wintersaison 1857–58, kehrte sie im Sommer desselben Jahres nach Eisenach zurück und unterzog sich einer Prüfung als Schulvorsteherin. Im Herbste darauf eröffnete sie ihre Schule, die sich zu einer blühenden und gesuchten, mit Pensionat verbundenen Anstalt entwickelte. 1859 gründete sie mit Frl. Eleonore Heerwart und Herrn Köhler aus Gotha den Thüringer Fröbelverein, der später in dem Allgemeinen deutschen Fröbelverband aufging. An dem 1863 gegründeten Vereinsorgan »Kindergarten, Bewahranstalt und Elementarklasse« war sie langjährige Mitarbeiterin. 1872 richtete sie die fünfte Generalversammlung des Allgemeinen deutschen Frauenvereins in Eisenach ein und war mehrere Jahre zweite Vorsitzende des bei dieser Gelegenheit dort gegründeten Frauenbildungsvereins. Durch ihre Schulthätigkeit und um einem, schon vielen Schulvorsteherinnen","‒ Die Verwunschene. – Das Rosenwunder der hl. Elisabeth. Zwei dramatische Jugendspiele. 8. (56) Dresden 1879, Bleyl & Kämmerer. n –.90geb. n 1.30 ‒ Dornröschen. Märchendichtg. Eisenach 1891, H. Kahle. ‒ Frühlings Streit mit dem Winter. 12. (43) Ebda. 1896. ‒ Grete. Märchendichtg. Ebda. 1894.",,,,Eisenach,London,Paris,Gotha,Dresden,,,,,,,,,,,,,,,,,,,,,
