gnd,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
11856661X,Kremnitz,Frau Mite,Kremnitz Mite,Greifswald,Berlin,1852-01-04,1916-07-18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116535431,Krickeberg,Frau Elisabeth,Krickeberg Elisabeth,.,.,1861-02-02,1944,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1099442346,Krieg,Frau Hauptmann Luise,Krieg Luise,.,.,1862,1941,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118575155,Krieger,Charlotte,Krieger Charlotte,Hannover,Hohenzieritz,1776-03-10,1810-07-19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
127632409,Kriesch,Auguste,Kriesch Auguste,Prag,.,1859,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1055758313,Kriesche,Frau Alma,Kriesche Alma,.,Dresden,1844-03-27,1912-11-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1250989140,Kronburg,Ella von,Kronburg Ella,Berlin,.,1863-11-08,1944-04-17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113081517X,Kronoff,Frida v,Kronoff Frida,.,.,1853-02-19,1929-10-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1022006363,Krug,Anna,Krug Anna,.,Dresden,1805,1877-05-03,Krug Charlotte,"geb. Schnorr von Carolsfeld, geboren 1806, gestorben den 3. Mai 1877 in Dresden.","‒ Anna u. Lisbeth. Idyllische Erzählg. 1853. ‒ Aus vergangenen Zeiten. 2 Bde. 16. (212) Dresden 1860, Kuntze. à –.75 ‒ Der Alpensee. Dichtung. 16. (91) Leipzig 1858, E. I. Günther. n 2.50 ‒ Kindertheater. 5 Lustsp. f. die Jugend. 16. (221 m. 4 Chromol.) Stuttgart 1874; Risch. 2.25",.,.,.,.,.,.,.,.,.,.,.,.
116561882,Krüger,Helene,Krüger Helene,Stettin,.,1861-06-11,.,Krüger Helene,Guckindiewelts Arbeitsfeld. 4. (18 m. farb. Abbildgn) München 1890. Stroefer n 1.50,"‒ Hab' mich lieb! Ein Liederstrauss. 32. (128 m. 6 farb. Bildern) Nürnberg 1896, Th. Stroefer. geb. m. Goldschn. 1.50 ‒ Kling-ling Festgabe f. Kinder zum Geburtsu. Namenstage. In Tambourinform ausgestanzt. (8 m. farb. Illustr.) München 1889, Stroefer. n –.65 ‒ Lebensspiegel unseres Kindes. Mit poet. Beiträgen v. H. K. Glücklich seien deine Tage. 4. (154 Blatt m. z. Tl. farb. Illustr.) München, Nürnberg 1892, Th. Stroefer. geb. n 15.– ‒ Mein Bello. Gedicht, ausgestanzter Hund. 16. (12 m. Abbildgn.) München 1890, Stroefer. n –.65 ‒ Mein Gruss! Gedicht. 12. (4) Nürnberg 1895, Th. Stroefer. 1.50 ‒ Mein Wunsch. Gedicht. Ausgestanzte Tulpe. 32. (5 Bl. in Fächerform) München 1890, Stroefer. n –.65 ‒ Robinsons Abenteuer. 4. (8 m. 8 farb. Abbildgn.) Nürnberg 1891, Th. Stroefer. 1.– ‒ Rotkäppchen. Ausgestanzt. 4. (13 m. z. Tl. farb. Abbildgn.) Ebda. 1893. –.75 ‒ Dasselbe. Ausgestanzt. Fol. (14 m z. Tl. farb. Abbildgn.) Ebda. 1894. –.75 ‒ Rotkäppchen u. der kleine Däumling. Fol. (16 m. z. Tl. farb. Abbildgn.) Ebda. 1895. 1.30 ‒ Siehe. ich bin mit Dir. Eine Verheissg. f. Konfirmierte. 12. (8 m. 2 farb. Illustr.) Ebda. 1894. n 1.– ‒ Unvergängliche Rosen. Gedichte. 12. (8 m. farb. Abbildgn.) Ebda. 1894. n 1.50",Krüger Helene,"ABC. 4. (14 m. z. Tl. farb. Bildern) Nürnberg 1897, Th. Stroefer. –.75 Werke s. auch Band I.","‒ Blüten im Lebenskranze. Lyrische Gedichte für die Frauenwelt gesammelt. 12. (156 m. 12 Vollbildern in Ton u. Farbendr) Ebda. 1897. –.75 ‒ Geburtstagsbuch. 16. (56 m. farb. Bildern) Nürnberg 1897, Th. Stroefer. geb. –.75",Krüger Helene,"Ps. Spes, Bonn, Königstrasse 21, wurde am 11. Juni 1861 als die Tochter des Apothekenbesitzers und Medizinalrates Marquardt in Stettin geboren und genoss in einem schönen Familienleben alle Segnungen desselben. Das Bedürfnis zu dichten und zu schreiben empfand sie schon als Kind. Mit 19 Iahren verheiratete","‒ Dämmerstündchen. 12. (48) Bonn 1896, Hermann Behrendt. ‒ Mutterlust und Leid. 16. (23) Bonn 1896, Hermann Behrendt. –.50",.,.,.,.,.,.
133823407,Krüger,Therese u,Krüger Therese,Mainz,Berlin,1774-11-24,1849-03-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117550949,Krukenberg,Elisabeth,Krukenberg Elisabeth,Halle (Saale),Calw,1867-02-05,1954-08-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126748675,Kübler,Marie Susanne,Kübler Marie Susanne,Winterthur,Zürich,1814-02-18,1873-02-04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116010010,Küche,Thüringer,Küche Thüringer,Erfurt,Hamburg,1757-11-17,1840-11-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116577266,Kudriaffsky,Eufemia von,Kudriaffsky Eufemia,Wien,Wien,1820-06-04,1882,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017823588,Kuenburg-Stolberg,Gräfin Bertha,Kuenburg-Stolberg Bertha,Holle-Söder,Salzburg,1845-06-21,1924-09-22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1318489830,Kühn,Auguste,Kühn Auguste,.,.,1795,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
128579501,Kühne,Frau Julie,Kühne Julie,.,.,1837,1898,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1123285276,Kuhnke,Frl. Emma Otto,Kuhnke Otto Emma,.,.,1854,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101244371,Kulmann,Elisabeth,Kulmann Elisabeth,Sankt Petersburg,Sankt Petersburg,1808-07-17,1825,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
127441883,Künsberg,Sophie Freiin von,Künsberg Sophie,Karlsbad,Reisach (Oberaudorf),1861-09-05,1938-05-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117471984,Kuntze,Henriette,Kuntze Henriette,Leipzig,Leipzig,1808-11-24,1839-10-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
119405822,Kunz,Therese,Kunz Therese,Wien,Wien,1794-08-30,1827-11-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1034932500,Kupfer,Frau Marie,Kupfer Marie,.,.,1864-12-08,1940-04-06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126739684,Kurella,Frau Marie,Kurella Marie,Brieg,.,1868,1923,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117555304,Kurs,Auguste,Kurs Auguste,Berlin,Berlin,1815,1892,Kurs Auguste,"Epheublätter. Gedichte. 3. Aufl. 8. (196) Berlin 1854, Cohn. 2.–; geb. 2.70","‒ Gemüt u. Leben. Gedichte. 16. (125) Berlin 1855, Hayns Erben. 1.50 ‒ Germania. Beiträge deutscher Dichter u. Dichterinnen. 8. (320) Berlin 1861, Lass. n 4.50; geb. n 5.25 ‒ Nora. Dichtung. 16. (90) Berlin 1856, Sacco Nachfolger. 1.50",.,.,.,.,.,.,.,.,.,.,.,.
118862979,Kurz,Frl. Isolde,Kurz Isolde,Stuttgart,Tübingen,1853-12-21,1944-04-05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116625961,Kurz,Marie,Kurz Marie,Ulm,München,1826-08-06,1911-06-26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12655028X,Kuss,Johanna,Kuss Johanna,Kellinghusen,.,1813-04-27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1073350282,Küster,Theodor,Küster Theodor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126482802,Kutscha-Lissberg,Frl. Ida von,Kutscha-Lissberg Ida,.,.,1871,1911,Lissberg Ida,Biographie s. Ida von Kutscha-Lissberg.,"‒ Kleinigkeiten. Erzählgn. u. Gedichte. 8. (71) Teschen 1894, K. Prochaska. n 2.–; geb. n 3.– ‒ Weihnachtsgabe. Lyrische Gedichte. 8. (48) Ebda. 1894. Vergriffen. n 2.–; geb. n 3.–",.,.,.,.,.,.,.,.,.,.,.,.
105054966X,Kutzner,Frau Lilly,Kutzner Lilly,.,.,1853-06-20,.,Roland Almuth,Biographie s. Lilly Kutzner.,"‒ Das Schwalbennest. Bilderbuch ohne Bilder mit Liedern. 8. (159) Glarus 1892, Schweizer Verlags-Anstalt. 2.–; geb. 2.40 ‒ Der blaue Schleier. Nov. 8. (60) Gotha 1880, Windaus. n 1.20 ‒ Ein Veilchenstrauss. 16. (75) Bremen 1889, Heinsius' Nachf. geb. m. Goldschn. n 2.–",.,.,.,.,.,.,.,.,.,.,.,.
10117909X,Kux,Frau Auguste,Kux Auguste,Torgau,.,1828-07-18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116633174,Kwaysser,Frl. Marie,Kwaysser Marie,Semily,Morchenstern,1849,1913,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116436336,Kym,Frl. Hedwig,Kym Hedwig,Berlingen,Neerach,1860-05-27,1949-08-31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116640979,La Corrée,V,La Corrée V.,.,.,1812,.,Mühlenberg Mathilde,Gräfin Valerie de La Corée.,‒ Verene. Erzählg. aus Tirol. 1865.,.,.,.,.,.,.,.,.,.,.,.,.
11705822X,La Mara,Biographie s,La Mara,Leipzig,Schmölen,1837-12-30,1927-03-02,La Mara,"Franz Liszts Briefe. Gesammelt u. hrsg. v. L. M. 2. Aufl. 2 Bde. 8. (399 u. 421) (1893) 1896, Leipzig, Breitkopf & Härtel. 12.–; geb. 14.– 1. Romantiker. 7. Aufl. (447) 1894. 3.50; geb. 4.50 2. Ausländische Meister. 6. Aufl. (348) 1896. 3.50; geb. 4.50 3. Iüngstvergangenheit u. Gegenwart. 6. Aufl. (338) 1890. 3.50; geb. 4.50 4. Klassiker. 3 Aufl. (491) 1888 4.–; geb. 5.– 5. Die Frauen im Tonleben der Gegenwart. 2. Aufl. (393) 1886. 4.–; geb. 5.–","‒ Franz Liszts Briefe. 3. Bd. (Auch u. d. Titel: »Franz Liszts Briefe an eine Freundin«.) 8. (223) Ebda. 1894. n 4.–; geb. 5.– ‒ Franz Liszt, Fr. Chopin. Frei ins Deutsche übertr. v. L. M. 2. Aufl. 8. (215) Ebda. 1896. 6.–; geb. 7.50 ‒ Ludwig van Beethoven. Biographische Skizze. 2. Aufl. 8. (107) Leipzig 1873, Schmidt & Günther. 1.–; geb. 1.50 ‒ Musikalische Gedanken-Polyphonie. Aussprüche berühmter Tonsetzer üb. ihre Kunst. 8. (290) Leipzig 1873, Leuckart. n 4.50 ‒ Musikalische Studienköpfe. 1. – 3. Bd. 8. (Mit Portraits.) Leipzig, Schmidt & Günther. ‒ Dasselbe. 4. u. 5. Bd. 8. (Mit Portraits. Leipzig, Breitkopf & Härtel. ‒ Musikerbriefe aus fünf Iahrhunderten. Nach den Urhandschriften erstmalig hrsg. 2 Bde. 8. (746) Leipzig 1886, Breitkopf & Härtel. n 7.–; geb. n 9.– ‒ Pauline Viardot-Garcia. 8. (20) Ebda. 1882. –.75 ‒ Sommerglück. 8. (192) Ebda. 1882 n 2.60; geb. n 3.60 ‒ Verzeichnis der Kompositionen etc. v. C. M. v. Weber, F. Schubert, F. Mendelssohn, R. Schumann, F. Chopin, F. Liszt u. R. Wagner. 8. (86) Leipzig 1879, Schmidt & Günther. n 1.50",Lipsius Maria,"Ps. La Mara, Leipzig, Lessingstrasse 4, einer alten Gelehrtenfamilie entstammend, ist sie am 30. Dezember 1837 in Leipzig geboren, wo sie noch heute lebt. Ihr Vater, ein hochangesehener Gelehrter und Pädagog daselbst, war Rektor der Thomasschule, des durch Bachs Kantorat weltbekannten Gymnasiums. Er übernahm nach dem frühen Tod der Mutter fast ausschliesslich ihre Erziehung, die er mit Liebe und Sorgfalt leitete. Neigung und Begabung zur Musik traten sehr früh hervor und wurden durch gute Lehrer gefördert. Entscheidend wurde für sie in erster Jugend die Einführung bei Liszt in Weimar. Aus ihr erwuchs ihr eine Freundschaft, die ihr Leben in seine eigensten Bahnen wies und es beflügelte. Auf Liszts Anregung nahm sie die Feder in die Hand, der sie lebenslang treu blieb. Werke s. La Mara.",.,.,.,.,.,.,.,.,.,.
1043131582,Lachmann,Anna,Lachmann Anna,Breslau,.,1860,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
119115441,Lachmann,Hedwig,Lachmann Hedwig,Stolp,Krumbach (Schwaben),1865-08-29,1918-02-21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1034942638,Lackemann,Adelheid Rosalie,Lackemann Rosalie Adelheid,Bremen,Bremen,1824-09-26,1889-04-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116378220,Lacroma,Paul Maria,Lacroma Paul Maria,Triest,.,1852-07-21,1929-11-29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11664365X,Laddey,Emma,Laddey Emma,Elbing,München,1841-05-09,1892-04-12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116645504,Lagarde,Anna de,Lagarde de Anna,.,.,1831-02-09,1918-02-09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1025134729,Lage,Bertha von der,Lage der Bertha,.,.,1844,1902,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116661917,Lammers,Frl. Mathilde,Lammers Mathilde,.,.,1837,1905,Lammers Mathilde,"Schmale Kost. Volksbibliothek des Lahrer hinkenden Boten. No. 704–706. 2. Tl. 12. (29) Lahr 1889, M. Schauenburg. à n –.15","‒ Volkskaffeehäuser. Ratschläge für ihre Einrichtg. u. Bewirtschaftg. 8. (36) Bremen 1883, Roussell. n 1.–",.,.,.,.,.,.,.,.,.,.,.,.
106257471,Lancken,Bertha Sara von der,Lancken Sara Bertha,.,.,1863,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1012778878,Landau,Rosa,Landau Rosa,Bad Buchau,Frankfurt am Main,1867-05-29,1925-11-04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1157525385,Landé,Frau Dora,Landé Dora,Ostrowo,.,1862-07-25,1923,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1237376629,Landmann,Frl. Marie,Landmann Marie,Danzig,Danzig-Oliva,1859-06-11,1942-03-26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116684208,Lang-Anton,Frau Helene,Lang-Anton Helene,Lemberg,Königsberg,1859-08-17,1931,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1071566989,Langbein,Frl. Johanna,Langbein Johanna,.,.,1781,1852,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11856935X,Lange,Frl. Helene,Lange Helene,Oldenburg (Oldenburg),Berlin,1848-04-09,1930-05-13,Lange Helene,"Entwickelung u. Stand des höheren Mädchenschulwesens in Deutschland. 8. (69) Berlin 1893, R. Gärtner. n 1.20; geb. nn 1.60","‒ Erziehungsfragen. Vortrag. 8. (24) Berlin 1893, L. Oehmigkes Verlag. –.50 ‒ Frauenbildung. 8. (123) Ebda. 1889. n 1.60 ‒ Intellektuelle Grenzlinien zwischen Mann u. Frau. Frauenwahlrecht. Aus: »Die Frau«, resp. »Cosmopolis«. 8. (43) Berlin 1897, W. Moeser, Hofbuchhandlung. bar n –.60 ‒ Leitfaden für den Unterricht in der Geschichte der französischen Litteratur. (Précis de l'histoire de la littérature française.) 8. Aufl. 12, (144) Berlin 1896, L. Oehmigkes Verlag. n 1.25; kart. 1.45 ‒ »Not«. Vortrag. 3. u. 4. Tausend. 8. (24) Ebda. 1892. n –.40 ‒ Rede zur Eröffnung der Realkurse für Frauen. 8. (18) Ebda. 1889. n –.30 ‒ Schillers philosophische Gedichte. Sechs Vorträge. 8. (188) Ebda. 1887. n 1.60; geb. m. Goldschn. n 2.50 ‒ Über Frauenu. Lehrerinnen-Vereine. Vortrag. 2. Aufl. 8. (24) Ebda. 1892. n –.50 ‒ Unsere Bestrebungen. Vortrag. 8. (24) Ebda. 1892. n –.40",Lange Helene,"Biographie und weitere Werke s. Band I. u. Justizrat Carl Bulling. Eine Erwiderg. auf den Artikel der Frau Dr. Kempin: »Deutsche u. amerikanische Vermögensrechte der Ehefrauen« in No. 52 der »Nation« (25. Sept. 1897). Mit e. Geleitwort vom Vorstand des Bundes deutscher Frauenvereine. 3. Taus. 8. (16) Berlin 1897, L. Oehmigkes Verlag. –.20",.,.,.,.,.,.,.,.,.,.
132484188,Lange,Mathilde,Lange Mathilde,München,Karlsruhe,1833,1856-11-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
129807370,Langin,Barbara Helena,Langin Barbara Helena,Nürnberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116724900,Langkammer,Frau Margarethe,Langkammer Margarethe,Augsburg,Wien,1866-05-20,1922-10-28,Nordmann Richard,Biographie s. Margarete Langkammer.,.,.,.,.,.,.,.,.,.,.,.,.,.
130146471,Lanna-Schmidt,Frau Amélie Charlotte,Lanna-Schmidt Charlotte Amélie,Wien,Wien,1857-12-31,1938-10-28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116731451,Lantzius-Beninga,Frl. Helene,Lantzius-Beninga Helene,.,.,1844-08-25,1906-06-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126698554,Last,Elise,Last Elise,.,.,1827,1888,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116862904,Latt,Frau Annie,Latt Annie,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1043232176,Lau,Anna,Lau Anna,.,.,1855,1931,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116858370,Lauckner,Clara,Lauckner Clara,.,Berlin,1861-02-14,1924-10-17,Sudermann Clara,"Ps. Clara Lauckner und C. Eltzen, Berlin, Tauenzienstrasse 13, geboren den 14. Februar 1861 in Königsberg in Preussen. Ihr Vater war der Bürgermeister Schulz in Bartenstein. Sie erhielt eine sorgfältige Erziehung. 1885 heiratete sie den Wasserbaudirektor Lauckner, den sie 4 Iahre später durch den Tod verlor. Die junge Witwe suchte Vergessen in der Schriftstellerei. Ihre erste Arbeit, eine Novelle »Mein Stern« erhielt in einer Preisausschreibung, an der sich viele tüchtige Schriftsteller beteiligten, den ersten Preis. Im Sommer 1891 lernte Frau Clara Lauckner den bekannten Schriftsteller Hermann Sudermann kennen, dessen Gattin sie im Herbste desselben Iahres wurde. Werke s. auch Clara Lauckner.","‒ Die Siegerin. Rom. 8. (148 m. Bildnis u. 8 Bildern) Wien 1896, Gesellschaft für graphische Industrie. 2 –; geb. 3.–",.,.,.,.,.,.,.,.,.,.,.,.
116756799,Lauser,Frau Lili,Lauser Lili,Mainz,Wien,1851,1934,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116847956,Lazarus,Nahida Ruth,Lazarus Nahida Ruth,Berlin,Meran,1849-02-03,1928-01-17,Remy Nahida,Biographie s. Nahida Ruth Lazarus. Weitere Auflagen erschienen unter Nahida Ruth Lazarus.,"‒ Das Gebet in Bibel u. Talmud. 2. Aufl. 8. (43) Berlin 1892, E. Apolant. n –.80 ‒ Das jüdische Weib. Mit e. Vorrede v. M. Lazarus. 3. Aufl. 8. (328) Leipzig 1893, S. Cronbach. n 5.–; geb. n 6.– ‒ Die Grafen Eckardstein. Drama. 1880. ‒ Die Rechnung ohne Wirt. Lustsp. 1870. ‒ Domenico. Schausp. 1884. ‒ Geheime Gewalten. Rom. in 2 Bdn. 8. (753) Dresden 1890, E. Pierson. n 8.– ‒ Heisses Blut. (Neue Ausg. der sizilJan. Nov.) 8. (271) Berlin 1886, R. Ecksteins Nachfolger. n 1.– ‒ Humanität im Judentum. Studie. 1894. ‒ Ich suchte dich! Biographische Erzählg. von Nahida Ruth Lazarus (Nahida Remy). 8. (223) Berlin 1898, S. Cronbach. ‒ Konstanze. Drama. 1879. ‒ Kulturstudium über das Judentum. 8. (322) Berlin 1894, C. Duncker. 5.– ‒ Liebeszauber. Drama. 1887. ‒ Nationale Gegensätze. Drama. 1884. ‒ Schicksalswege. Volksschausp. 1880. ‒ Wo die Orangen blühen. Rom. 1872.",Ruth Nahida,Biographie s. Nahida Ruth Lazarus. Werke s. auch Nahida Remy.,.,.,.,.,.,.,.,.,.,.
