identifier,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
1073390071,Peters,Frl. Anna,Peters Anna,Leipzig,.,1821-12-12,.,"Peters, Frl. Anna, Stuttgart, Augustenstrasse. u. T. Werner. Christliches Vergissmeinnicht f. alle Tage des Jahres. Mit Blumenbildern v. A. P. 32. (366) Ravensburg 1894, O. Maier. geb. m. Goldschn. n 2.80",.,.,.,.,Ravensburg,Werne,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1037888944,Peters,Frl. Wilhelmine,Peters Wilhelmine,Elbing,.,1837,.,"Peters, Frl. Wilhelmine, Ps. A. Fromm, Elbing, Mauerstrasse 20, daselbst geboren den 13. Oktober 1837. Sie ist Sprachlehrerin und schreibt Novellen, Feuilletons und Erzählungen. Werke s. A. Fromm.",.,.,.,.,Elbing,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
133676641,Petersen,Marie,Petersen Marie,Frankfurt (Oder),Frankfurt (Oder),1816-07-31,1859-06-30,"Petersen, Marie, gestorben den 30. Juni 1859 in Frankfurt a. O.","‒ Die Irrlichter. 12. (139) Leipzig 1890, Fock. geb. m. Goldschn. n 1.20 ‒ Dasselbe. 8. (93) Halle 1890, Hendel, n –.25; in Prachtbd. m. Goldschn. n 1.– ‒ Dasselbe. 16. (116) Leipzig 1890, Ph. Reclam jun. n –.20; geb. n –.80; m. Goldschn. n 1.20 ‒ Dasselbe. 12. (171) Berlin 1890, Norddeutsches Verlags-Institut. geb. m. Goldschn. n 2.– ‒ Dasselbe. 16. (110) Leipzig 1893, Bibliographisches Institut. –.20 ‒ Dasselbe. 47. Aufl. 12. (164) Berlin 1896, Gebrüder Paetel. n 2.–; geb. m. Goldschn. n 3.– ‒ Dasselbe. 16. (196) Leipzig 1896, H. Seemann. n 2.–; geb. n 3.– ‒ Prinzessin Ilse. Ein Märchen aus dem Harzgebirge. 24. Aufl. 12 (70) Berlin 1889, Gebrüder Paetel. geb. m. Goldschn. n 3.– ‒ Dasselbe. 8. (93) Halle 1890, Hendel, n –.25; in Prachtbd. m. Goldschn. n 1.– ‒ Dasselbe. 16 (57) Leipzig 1890, Ph. Reclam jun. n –.20 ‒ Dasselbe. 12. (68) Berlin 1890, Norddeutsches Verlags-Institut. geb. m. Goldschn. n 1.50 ‒ Dasselbe. 12. (57) Harzburg 1890, Stolle. geb. n 1.50 ‒ Dasselbe. 8. (40) Berlin 1891, Bruer & Co. n –.25 ‒ Dasselbe. 16. (43) Leipzig 1891, Bibliographisches Institut. n –.10 ‒ Dasselbe. 16. (63) Leipzig 1894, W. Fiedler. geb. m. Goldschn. 1.– ‒ Dasselbe. Neudr. 12. (57) Leipzig 1896, G. Fock geb. m. Goldschn. n 1.– ‒ Dasselbe. 2. Aufl. In Stenograph. Schrift übertr. von Rich. Preuss. Autogr. von Max Haubold. 8. (34) Dresden 1896, W. Reuter. n –.50 ‒ Prinzessin Ilse. Die Irrlichter. 2 Märchen. 8. (142) Leipzig 1894, Gressner & Schramm. –.60; geb. m. Goldschn. –.70 ‒ Dasselbe. 3. Aufl. 12. (226) Halle 1896, H. Gesenius. geb. m. Goldschn. n 2.–",.,.,.,Frankfurt a. O.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11745754X,Petrasch,Frau Eugenie,Petrasch Eugenie,Brünn,Wien,1856-12-06,1936,"Petrasch, Frau Eugenie, geb. Wohlmuth, Wien III, Stubenbastei 1, wurde am 6. Dezember 1860 zu Brünn als Tochter wohlhabender Eltern geboren. 1875 übersiedelten die Eltern nach Wien und E. nahm, ihrem Wunsche entsprechend, dramatischen Unterricht am dortigen Konservatorium. Nach dessen Absolvierung sie am Stadttheater in Leipzig auftrat. Sie erkrankte jedoch bald darauf und musste die Laufbahn aufgeben. In Meran, wo sie Genesung fühlte, begann sie zu schreiben. Es entstanden zwei Novellen, welche Moritz Perles verlegte. Ihr im Verlag von Konegen erschienenes Epos »Freiheitskampf« las sie in verschiedenen Städten vor, diese Vorlesungen fanden so viel Anklang, dass sie dieselben auf verschiedene Städte Europas und Amerikas ausdehnte. 1894 heiratete E. W. in Wien und gründete eine Vortragsschule. Gegenwärtig bekleidet sie die Stelle einer Vortragsmeisterin am Konservatorium in Wien. Ein Werk über den Vortrag aus ihrer Feder wird demnächst im Verlag von Frick in Wien erscheinen. Werke s. E. Wohlmuth.",.,Wohlmuth Eugenie;.;.,Biographie s. Eugenie Petrasch.,"‒ Im Freiheitskampfe. Gedicht aus dem serbischen Volksu. Kriegsleben. 8. (63) Wien 1888, Konegen. 1.60 ‒ La Christana. Eine Volksidylle a. d. Grödnerthale. 8. (45) Wien 1884, Perles. 1.60; geb. 2.40 ‒ Was's Moidl erzählt. Aus dem Tiroler Volksleben. 8. (35) Ebda. 1882. 1.50; geb. 2.40;.;.",Wien,.,Meran,Leipzig,.,Wien,Brünn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101140525,Petzel,Frl. Rosa,Petzel Rosa,Schollene,Loschwitz,1831,1912,"Petzel, Frl. Rosa, Malerin, Ps. Martin Claudius, Berlin SW., Yorkstrasse 85, Schwester der Vorigen, geboren am 21. April 1831. Der Vater unterrichtete seine 5 Kinder selbst und mit Vorliebe auch im Zeichnen, für das er ausserordentlich viel Talent besass, wodurch sich schon früh bei Rosa die Sehnsucht entwickelte, Malerin zu werden. Von der Mutter hatte sie das Talent zum Schriftstellern geerbt und erhielt von ihr die erste Anregung, sich darin zu versuchen. Gemeinschaftlich mit dieser verfasste sie das erste kleine Buch, welches 1850 bei Alexander Duncker in Berlin erschien. Darnach folgten mehrere kleine Büchlein mit Erzählungen für Kinder bei I. A. Wohlgemuth in Berlin unter dem Pseudonym Martin Claudius. Hierzu lieferten auch Beiträge die beiden Schwestern und Maria, so dass Martin Claudius lange Zeit für vier Schreiberinnen als Pseudonym diente. Als Thekla v. Gumpert Werke s. Martin Claudius.",.,.,.,.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118636863,Pfeifer,Margarete,Pfeifer Margarete,Radeburg,Berlin,1858-01-10,1929-08-09,"Pfeifer, Margarete. Das schönste Buch für artige Kinder. 4. (8 Bl. m. farb. Bildern) Stuttgart 1896, G. Weise. n –.50 zusammen mit Schäfer u. Wette, guten Kindern zur Freude, zum Aufstellen 2.–","‒ Dieses Buch, mein liebes Kind, sagt dir. wer wir alle sind. Bilder u. Reime. 4. (8 farb. Taf. m. 4 Text) Wesel 1895, W. Düms. kart. –.50; auf Pappe 1.–; zum Aufstellen 1.– ‒ Sonnige Tage. Mit farb. Bildern u Reimen. 4. (32) Esslingen 1894, I. F. Schreiber. kart. n 2.50",.,.,.,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118740792,Pfeiffer,Ida,Pfeiffer Ida,Wien,Wien,1797-10-14,1858-10-27,"Pfeiffer, Ida, geb. Reyer, geboren den 14. Oktober 1797 in Wien, gestorben den 27. Oktober 1858.","‒ Eine Frauenfahrt um die Welt. Reise von Wien nach Brasilien, Chili, Otaheiti, China, Ostindien, Persien u. Kleinasien. 3. Bd. 8. (326) Wien 1850, Gerold. 3.60 ‒ Meine zweite Weltreise. 4 Tle. 8. (901) Ebda. 1856. 12.– ‒ Reiseerlebnisse. 2 Bde. 1844. Erschien anonym. ‒ Reise einer Wienerin in das heilige Land. 8. (339) Wien 1856, Dirnböck. 3.– ‒ Reise nach dem skandinavischen Norden und der Insel Island im Jahre 1845. Mit 1 Karte der Südwestküste der Insel Island. 2 Bde. 12. (184) Budapest 1846, Heckenast, Leipzig, G. Wigand. n 6.– ‒ Reise nach Madagaskar. 2 Bde. 8. (376) Wien 1861, Gerolds Sohn. 6.–",.,.,.,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1287542999,Pfudel,Klara,Pfudel Klara,Berlin,.,1865-02-02,.,"Pfudel, Klara. Johanna Gray. Trauersp. 8. (308) Berlin 1894, A. Haack. n 4.–; geb. n 5.–",.,.,.,.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116978228,Pichler,Luise s,Pichler Luise,.,.,1823-01-16,1889-11-20,"Pichler, Luise s. Luise Zeller.","‒ Alarich in Rom. Erzählg. Leipzig, Oehmigke. geb. –.75 ‒ Am Fusse der Achalm. Erzählgn. a. d. Zeit Kaiser Heinrichs IV. Ebda. geb. –.75 ‒ Am Johannisfeste. Erzählg. Ebda. geb. –.75 ‒ An den Ufern d. Rheins. Erzählg. f. die Jugend u. das Volk. 16. (118) Stuttgart 1869, Risch. –.75 ‒ Auf dem deutschen Meer. Erzählg. 16. (107) Ebda. 1874. –.75",Pichler Luise;Pichler Luise;Zeller Luise;.,"Aus böser Zeit. Vaterländischer Rom. 3 Bde. 8. (1. u. 2. Bd. 510) Leipzig 1858, Grunow. n 9.–;Diadem u. Myrten. Ein Kranz histor. Erzählgn. 8. (288 m. H. u. 6 Chromol.) Stuttgart 1885, Kröner. geb. 5.50 1. Deutsche Heldengeschichten aus dem Mittelalter. (315) 2. Deutsche Kaiser. (372) 3. Kaiser Rotbart. (203);Ps. Louise Pichler, geboren am 16. Januar 1823 in Wangen, gestorben den 20. November 1889 in Stuttgart. Werke s. Louise Pichler.;.","‒ Aus Deutschlands Eichenwäldern. Auf stürmischen Wellen. Zwei histor. Erzählgn. Leipzig, Oehmigke. geb. –.75 ‒ Bei Lampenu. Sternenschein. Erzählg. 2. Ausg. 2 Bde. 8. (412) 1866, 1868 Leipzig, Grunow. n 5.– ‒ Belohnte Kindesliebe. Erzählg. a. d. Zeit des deutschen Königs Philipp. Leipzig, Oehmigke. geb. –.75 ‒ Bilder aus Schwabens Vergangenheit. Erzählgn. f. d. Jugend. 8. (126) Stuttgart 1851, I. F. Steinkopf. –.75 ‒ Chlodwig und Chlotildis. Irene und König Philipp, der Hohenstaufe. Zwei histor. Erzählgn. Leipzig, Oehmigke. geb. –.75 ‒ Das eiserne Kreuz. Erzählg. a. d. Zeit Kaiser Wilhelms I. Ebda. geb. –.75 ‒ Das Gesetz des Fortschritts im Reiche Gottes. Rede, geh. a. d. Iahresfeier der Ev. Gesellschaft f. Stadtmission in Basel. 8. (14) Basel 1897, P. Kober. –.08 ‒ Das Hünenschloss. Erzählg. 16. (130) 1863, 1874 Stuttgart, Risch. –.75 ‒ Das Vaterhaus. Bilder a. d. Kindheit. 12. (104) Basel 1897, P. Kober. –.50; geb. 1.– ‒ Der alte Barbarossa. Erzählg. f. d. Jugend u. d. Volk. 16. (126) Stuttgart 1868, Risch. –.75 ‒ Der alte Nettelbeck od. der Retter in der Not. Vaterländ. Erzählg. f. d. reifere Jugend. 3. Aufl. 8. (164 m. 5 Farbdr.) Stuttgart 1896, Süddeutsches Verlagsinstitut. geb. n 3.– ‒ Der Burggraf zu Nürnberg. Erzählg. Leipzig, Oehmigke. geb. –.75 ‒ Der erste Brandenburger. Erzählg a. d. Anfängen der preussischen Geschichte. Ebda. geb. –.75 ‒ Der erste Zollern. Erzählg. 16. (136) Stuttgart 1868. Risch. –.75 ‒ Der Expeditionsrat. Erzählg. f. die Jugend u. das Volk. 16. (100) Ebda. 1861. –.75 ‒ Der Findling. Erzählg. Leipzig, Oehmigke. geb. –.75 ‒ Der Freihof v. Siebeneichen. Erzählg. 16. (158) Stuttgart 1868, Risch. –.75 ‒ Der Gerichtstag zu Cannstatt. Ein Weihnachtsfest. Zwei Erzählgn. für die Jugend u. das Volk. 16. (94) Ebda. 1861. –.75 ‒ Der junge Kreuzfahrer. Erzählg. Leipzig, Oehmigke. geb. –.75 ‒ Der Kampf um Hohentwiel. Eine geschichtl. Erzählg. 8. (262) Stuttgart 1847, I. F. Steinkopf. 2.25 ‒ Der Kaufherr von Strassburg. Die Spielgenossen. Zwei Erzählgn. aus der Zeit Kaiser Heinrichs III. u. aus d. Germanenzeit. Leipzig, Oehmigke. geb. –.75 ‒ Der letzte Hohenstaufe. Histor. Roman. 3 Bde. 8. (1. u. 2. Bd. 929) Leipzig 1855, Herbig. 10.50 ‒ Der Pflegesohn. Erzählg. f. d. Jugend. 12. (69 m. H.) Reutlingen 1855, Baur. –.60 ‒ Der Rekrut. Erzählg. a. d. Zeit der deutschen Kleinstaaten. Leipzig, Oehmigke. geb. –.75 ‒ Der Ring der Herzogin. Erzählg. f. d. Jugend u. das Volk. 16. (96) Stuttgart 1861, Risch. –.75 ‒ Der Rotmantel. Erzählg. 2. Aufl. 16. (108) Ebda. 1871. –.75 ‒ Der Sandwirt von Passeyer. 8. (40) Leipzig 1883, T. Grieben. n –.60 ‒ Der Schreckenstag von Weinsberg. Eine Erzählg. aus dem Bauernkriege. 12. (121) Stuttgart 1879, I. F. Steinkopf. kart. –.75 ‒ Der Sohn der Witwe. Erzählg. f. d. Jugend u. d. Volk. 2. Aufl. 16. (144) Stuttgart 1871, Risch. –.75 ‒ Der Steinmetz von Speier. Ein Karlsschüler. Zwei Erzählgn. f. die Jugend u. d. Volk. 16. (96) Ebda. 1866. –.75 ‒ Der Tiger im Fasse u. andere Geschichten für die Jugend. 4. (6 m. 4 Chromol.) Stuttgart 1896. Nitzschke, geb. 1.50 ‒ Der Überfall im Odenwald. Erzählg a. d. Zeit Kaiser Friedrichs des Rotbarts. Leipzig, Oehmigke, geb. –.75 ‒ Der Waldhof. Erzählg. 16. (32) Konstanz u. Emmishofen 1894, C. Hirsch. bar n –.10 ‒ Des Dorfes Rose od. aus schwerer Zeit. 12. (127 m. H.) Stuttgart 1880, Kröner. n –.40; geb. n –.60 ‒ Deutsche Treue. Erzählg. f. d. Jugend u. d. Volk. 16. (119) Leipzig 1862, Grunow. –.75 ‒ Deutsches Heldentum. Vaterländ. Schausp. (Hermann der Cherusker – Welf u. Staufen.) 12. (64 m. Illustr.) Stuttgart 1882, Kröner. n –.20; geb. n –.60;‒ Die Ansiedler im Schwarzwald. Eine Erzählg. für die Jugend u. das Volk. 2. Aufl. 16. (118) (1863) 1874, Stuttgart, Risch. –.75 ‒ Die Brüder. Erzählg. 2. Aufl. 16. (120) Ebda. 1871. –.75 ‒ Die Brüder. Vaterländ. Schausp. 12. (72 m. Abbildgn.) Stuttgart 1887, Kröner. n –.20 ‒ Die Deutschen in Rom. Erzählg. f. d. Jugend n. d. Volk. 16. (108) Stuttgart 1871, Risch. –.75 ‒ Die Helden der deutschen Wanderzeit. Erzählg. a. d. Geschichte der Völkerwanderg. f. d. Jugend. 8. (238 m. 5 Chromol.) Esslingen 1884, Schreiber. n 4.–; geb. n 5.– ‒ Die Iagd im Schönbuch. Eine vaterländ. Erzählg. 12. (48) Stuttgart 1880, Levy & Müller. n –.60 ‒ Die Kaiserbraut. Rom. 2 Bde. 2. Ausg. 8. (516) (1864) 1865, Leipzig, Grunow. 6.– ‒ Die Karthause. Erzählg. 2. Aufl. 16. (126) (1863) 1874, Stuttgart, Risch. –.75 ‒ Die Nachbarn. – Auf der Brücke zu Basel. Zwei Erzählgn. a. d. Zeit der Reutlinger Schlacht u. Franzoseneinfälle unt. Ludwig XIV. Leipzig, Oehmigke. geb. –.75 ‒ Die Rose von Byzanz. Erzählg. 16. (126) Stuttgart 1866, Risch. –.75 ‒ Die Schwarzwaldmühle. – Ein deutscher Prinz. Zwei Erzählgn. f. d. Jugend u. d. Volk. 16. (107) Ebda. 1862. –.75 ‒ Die Schwestern. Erzählg. f. d. Jugend u. d. Volk. 2. Aufl. 16. (96) Ebda. 1871. –.75 ‒ Die Waldschmiede zu Rottweil. – Der Rittmeister. Zwei Erzählgn. a. d. Zeit der ersten Hohenstaufen u. des 30jähr. Krieges. Leipzig, Oehmigke. geb. –.75 ‒ Drei Erzählgn. f. d. Jugend u. ihre Freunde. 12. (156) Stuttgart 1849, I. F. Steinkopf. kart. –.75 ‒ Ein deutsches Königsleben. Erzählg 16. (112) Stuttgart 1866, Risch. –.75 ‒ Ein Grenadier des grossen Fritz. Erzählg. 16. (147) Ebda. 1874. –.75 ‒ Elfengold fällt als Sternlein bunt u. klar in die frohe Kinderschar. Eine Auswahl der schönsten Märchen u. Sagen f. d. Jugend. 5. Aufl. v. »Gnomen u. Riesen«. 4. (32 m. 7 Chromol.) Stuttgart 1888, Nitzschke geb. n 4.– ‒ Erzählungen aus der Geschichte. 1.–3. Bd. 12. Esslingen 1884, Schreiber. geb. à n 1.50 ‒ Fee'n in den Lüften u. Spuk in dem Haus, brausender Jubel u. prickelnder Graus. Eine Auswahl der schönsten Märchen u. Sagen, f. d. Jugend bearb. 4. Aufl. Fol. (32 m. Illustr.) Stuttgart 1884, Nitzschke. geb. n 4.– ‒ Franzosengeneral u. deutscher Professor. Erzählg. f. d. Jugend u. das Volk. 2. Aufl. 16. (148) Stuttgart 1871, Risch. –.75 ‒ Friedrich von Hohenstaufen der Einäugige. Historischer Rom. 3 Tle. 8. (807) Leipzig 1853, Herbig. 7.50 ‒ Germania. Hermann der Befreier. Erzählg. f. Deutschlands Jugend. 3. Aufl. 8. (312 m. 6 Farbendr.) Leipzig 1891, A. Oehmigke. geb. 4.50 ‒ Geschichtenbuch für liebe Kinder von 4–10 Iahren. 160 Erzählgn. 12. (351 m. illustr.) Stuttgart 1850, I. F. Steinkopf. geb. 3.– ‒ Gnomen u. Riesen, verzauberte Welt, bunte Gestalten – wie's Kindern gefällt. Eine Auswahl der schönsten Märchen u. Sagen, f. d. Jugond bearb. 4. Aufl. Fol. (32 m. Illustr.) Stuttgart 1884, Nitzschke. geb. n 4.– ‒ Heinrich des Ersten Söhne. Schausp. 16. (174) Stuttgart 1873, Risch. 2.25 ‒ Heinrich des Vierten Vermählung mit Bertha v. Susa. Histor. Rom. 2 Bde. 8. (502) Leipzig 1856, Grunow. 7.50 ‒ Hermann u. Thusnelda. Erzählg. a. d. Zeit der deutschen Freiheitskämpfe. Leipzig, Oehmigke. geb. –.75 ‒ Hermann u. Tiberius. Erzählg. 16. (112) Stuttgart 1875, Risch. –.75 ‒ Historische Erzählungen. 60 Bde. 12. Leipzig 1889–96, Oehmigke. geb. à –.75 ‒ Hohenstaufenbilder. Ebda. geb. –.75 ‒ Illustriertes Märchenbuch f. Kinder. 12. (184 m. H.) Ulm 1882, Ebner. n 1.20 ‒ Illustriertes Theaterbüchlein f. Kinder. 2 Bdchn. 2 Aufl. 16. (136) Ulm 1894, I. Ebner. kart. –.75 ‒ Im Teutoburger Walde. Erzählg. f. d. Jugend u. das Volk. 16. (107) Stuttgart 1869, Risch. –.75;.;.",Rom,Leipzig,Rom,Stuttgart,Wangen,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
140715630,Pieper,Frl. Antonie,Pieper Antonie,.,.,1859,.,"Pieper, Frl. Antonie, Ps. Hans von der Mark, Barmen, Lichtenplatzerstrasse 55, wurde am 1. August 1859 zu Langenfuhr in der Neumark geboren, hatte später ihren Wohnsitz in Stettin und anderen Städten gehabt. Seit 1890 lebt sie in Barmen. Ihre dramatischen Dichtungen sind für patriotische Vorstellungen für die Jugend geschrieben.",.,.,.,.,Barmen,Langenfuhr,Stettin,Neumark,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116186399,Pinder,Marie,Pinder Marie,.,.,1821-01-20,.,"Pinder, Marie, geb. Jachmann, Ps. Marino, geboren am 20. Januar 1821 in Danzig. Werke s. Marino.",.,.,.,.,Danzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118816462,Pinelli,Frau Ada von Treskow,Pinelli Ada,Berlin,Steglitz (Landkreis Teltow),1837-03-31,1918-12-11,"Pinelli, Frau Ada von Treskow, Ps. Günther von Freiberg, Wien-Hietzing, Alleegasse 21, wurde 1840 zu Berlin als die Tochter des litterarisch thätigen Premierlieutenants A. v. Treskow geboren, der bald darauf in das diplomatische Fach übertrat. Der Salon ihrer hochgeistigen Mutter war der Sammelplatz vieler der bedeutendsten Dichter und Gelehrten der damaligen Berliner Gesellschaft. In ihren Eltern fand Ada unermüdliche Förderer ihrer poetischen Talente. 1860 gab Holtei ihre ersten Gedichte im »Grazer Friedhof-Album« heraus. Gleichzeitig erschienen 2 Bändchen Novellen unter dem Titel »Aquarelle«. Bald wurde sie gesuchte Mitarbeiterin einer grossen Reihe von Zeitschriften. Höchste Anregung verdankte sie dem greisen, aber noch geistsprühenden Fürsten von Pückler-Muskau, dem Dichter Fr. Ad. von Schack und dem genialen Prinzen Georg von Preussen, sowie dem jungen Karl Frenzel. 1865 endete der Tod ihres Vaters die glücklichste Zeit ihres Lebens. Im Jahre 1866 vermählte sie sich in Italien mit dem Divisionschef des römischen Justizministeriums I. Pinelli. Da die Ehe keine glückliche war, trennten sich die Gatten 1881. Ada ging auf 5 Jahre nach Venedig und siedelte 1886 nach Wien über. Dort erschienen ihre gesammelten Gedichte, die »Dijonrosen«; die im Ecksteinschen Verlage weit verbreiteten Erzählungen; das Monodrama »Don Juan de Maraña« und der Byron-Roman »Kinder der Flamme«. Seit 4 Jahren ist G. von Freiberg ständiger Mitarbeiter der »Schlesischen Zeitung« als Wiener Feuilletonist. Gegenwärtig schreibt sie an einem Roman für Ecksteins Nachfolger, »Abenteuer eines Musikers«, dessen Held Otto Nicolai ist, der früh gestorbene Komponist der »Lustigen Weiber von Windsor.« Auch werden demnächst ihre dramatischen Dichtungen veröffentlicht werden.","‒ Aquarelle. Nov. Leipzig 1860, Dürr. Vergriffen. ‒ Aus dem Süden. Berlin 1872, Gebrüder Paetel.",.,.,.,Wien,Rom,Muskau,Hietzing,Berlin,Graz,Freiberg,Rom,Venedig,.,.,.,.,.,.,.,.,.,Französisch,Englisch,Italienisch,Englisch,.,.,.,.
1158189427,Pinkus,Frau Gertrud,Pinkus Gertrud,Berlin,Montreux,1867-12-05,1927-11-27,"Pinkus, Frau Gertrud, geb. Tietzer, Ps. Truth, z. Zt. Baden-Baden, 5. Dezember 1867 in Berlin geboren, veröffentlichte sie im Jahre 1895 den Berliner Roman »Hefe im Schaum«, den sie im Alter von 19 Jahren geschrieben hatte und errang damit einen viel bestrittenen, aber doch grossen Erfolg. Auf dieses Erstlingswerk liess sie kleine Novellen und Feuilletons folgen, sodann einen Wiener Roman, »Prinzessin Fee«. Ihren letzten positiven Roman »Baron Max« hat sie Emil Zola, »dem grössten Sittenschilderer aller Zeiten« gewidmet. In Vorbereitung sind die Berliner Romane »Der Apoll von Bellevue«, »Der König von Griechenland« und das »Gelbe Palais«, ein in Kopenhagen spielender Liebesroman. Werke s. Truth.",.,.,.,.,Kopenhagen,Wien,Baden-Baden,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1179380533,Piorkowska,Frl. Jenny,Piorkowska Jenny,Leipzig,.,1845,.,"Piorkowska, Frl. Jenny, Ps. Theodor Schmidt, Leipzig, Weststrasse 4, geboren ebendaselbst den 14. März 1845, schreibt Novellen und Feuilletons, zumeist für Zeitschriften und übersetzt aus dem Französischen, Englischen und Italienischen.","‒ Die gestohlenen Familiendiamanten. Nach dem Engl. 8. (160) Weimar 1889, Iüngst & Co. n –.50 ‒ Eine traurige Geschichte. 12. (85) Leipzig 1886, v. Biedermann. n –.50 ‒ Erzählungen eines Grossvaters von W. Scott. Deutsch v. I. P. 3 Hfte. 8. (226) Leipzig 1876, Violet. n –.50 ‒ Felle Farina. Übers. d. Ouida. 1873. ‒ Geschlecht der Zukunft. Rom. a. d. Engl. 8. (282) Leipzig 1874, E. I. Günther. n 3.– ‒ Gott verlässt die Seinen nicht. Erzählg. f. d. Jugend. 8. (80) Dresden 1888, A. Köhler. geb. n –.75 ‒ Gwenda, des Sträflings Tochter. 8. (302) Weimar 1890, Iüngst & Co. n 2.– ‒ Pascarel. Rom. Übers. d. Ouida. 4 Bde. 8. (899) Leipzig 1874, E. I. Günther. n 12.– ‒ Skizzenbuch. Übers. d. Irving. 5 Hfte. 8. (381) Leipzig 1871, Violet. n –.50",Piorkowska Jenny;.;.,"Madame la Marquise u. andere Erzählgn. Aus dem Engl. d. Ouida. Autoris. Ausg. 2 Bde. 8. (503) Leipzig 1877, E. I. Günther. 5.– Ergänzg. zu Jenny Piorkowska. Band II.",.,Leipzig,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1050551559,Pirka,Frau Rosa,Pirka Rosa,Wien,.,1842,.,"Pirka, Frau Rosa, geb. Edle v. Lichtenfels, Ps. R. v. Fels, Pancsova, Temeszeile 6. Im Jahre 1842 in Wien geboren, empfing sie ihre erste Erziehung im »Englischen Fräulein-Stift« in Budapest. Der Stammsitz der Familie ist Wien, wo der Name Lichtenfels in der Künstlerwelt durch Maler und Schriftsteller, in der Gelehrtenwelt durch Professoren an der Klinik, an der Akademie der bildenden Künste, an der Universität, unter den Staatsmännern durch ihren im Jahre 1877 verstorbenen Onkel Thadäus Freiherr von Lichtenfels, Präsident des Staatsrates und Mitglied des Herrenhauses auf Werke s. R. v. Fels.",.,.,.,.,Wien,Pancsova,Budapest,Fels,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
189529814,Plange,Henriette,Plange Henriette,.,.,.,.,"Plange, Henriette. Gedichte. 16. (96) Lippstadt 1851, Rempel. 1.–",.,.,.,.,Lippstadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117764876,Plehn,Frau Auguste,Plehn Auguste,Danzig,Danzig,1839,1930,"Plehn, Frau Auguste, Ps. Brig. Augusti, Danzig, Heil. Leichnams-Stift 10, am 1. Februar 1839 in Danzig als Tochter eines Geistlichen geboren, hat sie dort auch ihre Ausbildung genossen. 1860 verheiratete sie sich mit einem westpreussischen Gutsbesitzer; die Ehe war kinderlos. Seit dem Tode ihres Mannes und dem Verkauf ihres Gutes lebt sie bei einer Schwester, seit dem Jahre 1891 in Zoppot an der Ostsee. 1880 fing sie an, für die Jugend zu schreiben, angeregt durch einen rührigen Verleger, ist seitdem fast jedes Jahr ein Buch von ihr erschienen. Werke s. Brig. Augusti.",.,.,.,.,Danzig,Zoppot,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1041571119,Plessner,Elsa,Plessner Elsa,.,.,1877,1956,"Plessner, Elsa, Wien, schrieb »Baby« (erschien in der »Gesellschaft«).",.,.,.,.,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
